"new_name"	"depth"
"1"	"sediment_autumn_eelgrass_10"	2825327
"2"	"sediment_autumn_eelgrass_16"	6587998
"3"	"sediment_autumn_eelgrass_17"	5152859
"4"	"sediment_autumn_eelgrass_19"	3061054
"5"	"sediment_autumn_eelgrass_20"	3473356
"6"	"sediment_autumn_eelgrass_21"	4664993
"7"	"sediment_autumn_eelgrass_24"	4676112
"8"	"sediment_autumn_eelgrass_25"	6311182
"9"	"sediment_autumn_eelgrass_26"	6230086
"10"	"sediment_autumn_eelgrass_27"	4623233
"11"	"sediment_autumn_eelgrass_28"	7231254
"12"	"sediment_autumn_eelgrass_29"	4587193
"13"	"sediment_autumn_eelgrass_30"	2497671
"14"	"sediment_autumn_eelgrass_31"	4743709
"15"	"sediment_autumn_eelgrass_8"	3432972
"16"	"sediment_autumn_eelgrass_9"	6252614
"17"	"sediment_autumn_rocks_1"	4263036
"18"	"sediment_autumn_rocks_10"	4900041
"19"	"sediment_autumn_rocks_11"	5576461
"20"	"sediment_autumn_rocks_12"	2135542
"21"	"sediment_autumn_rocks_13"	3468152
"22"	"sediment_autumn_rocks_14"	2730508
"23"	"sediment_autumn_rocks_15"	6538907
"24"	"sediment_autumn_rocks_16"	4824809
"25"	"sediment_autumn_rocks_17"	2685246
"26"	"sediment_autumn_rocks_18"	5539387
"27"	"sediment_autumn_rocks_19"	4652429
"28"	"sediment_autumn_rocks_20"	4475229
"29"	"sediment_autumn_rocks_21"	3529120
"30"	"sediment_autumn_rocks_23"	5228264
"31"	"sediment_autumn_rocks_24"	5872529
"32"	"sediment_autumn_rocks_25"	8765576
"33"	"sediment_autumn_rocks_26"	5393063
"34"	"sediment_autumn_rocks_27"	4669605
"35"	"sediment_autumn_rocks_28"	3874621
"36"	"sediment_autumn_rocks_29"	2937641
"37"	"sediment_autumn_rocks_3"	5619051
"38"	"sediment_autumn_rocks_30"	4286488
"39"	"sediment_autumn_rocks_31"	2473834
"40"	"sediment_autumn_rocks_32"	6804434
"41"	"sediment_autumn_rocks_33"	4742590
"42"	"sediment_autumn_rocks_4"	3726400
"43"	"sediment_autumn_rocks_5"	4010977
"44"	"sediment_autumn_rocks_6"	3309413
"45"	"sediment_autumn_rocks_7"	6345766
"46"	"sediment_autumn_rocks_8"	4231298
"47"	"sediment_autumn_rocks_9"	6908581
"48"	"sediment_autumn_sand_1"	3312153
"49"	"sediment_autumn_sand_10"	5423795
"50"	"sediment_autumn_sand_11"	3127448
"51"	"sediment_autumn_sand_12"	3728751
"52"	"sediment_autumn_sand_13"	5714008
"53"	"sediment_autumn_sand_14"	5349377
"54"	"sediment_autumn_sand_15"	2611816
"55"	"sediment_autumn_sand_16"	6564041
"56"	"sediment_autumn_sand_17"	3089685
"57"	"sediment_autumn_sand_18"	3278721
"58"	"sediment_autumn_sand_19"	5344745
"59"	"sediment_autumn_sand_20"	4831730
"60"	"sediment_autumn_sand_21"	5969428
"61"	"sediment_autumn_sand_23"	3927570
"62"	"sediment_autumn_sand_24"	5780722
"63"	"sediment_autumn_sand_25"	4223177
"64"	"sediment_autumn_sand_26"	5365102
"65"	"sediment_autumn_sand_27"	4851010
"66"	"sediment_autumn_sand_28"	6484383
"67"	"sediment_autumn_sand_29"	5329876
"68"	"sediment_autumn_sand_3"	3193450
"69"	"sediment_autumn_sand_30"	4517856
"70"	"sediment_autumn_sand_31"	5159058
"71"	"sediment_autumn_sand_32"	3761797
"72"	"sediment_autumn_sand_33"	4538694
"73"	"sediment_autumn_sand_4"	2108612
"74"	"sediment_autumn_sand_5"	3143260
"75"	"sediment_autumn_sand_6"	9174210
"76"	"sediment_autumn_sand_7"	3806511
"77"	"sediment_autumn_sand_8"	5391248
"78"	"sediment_autumn_sand_9"	4903044
"79"	"sediment_spring_eelgrass_10"	3978516
"80"	"sediment_spring_eelgrass_16"	5585697
"81"	"sediment_spring_eelgrass_17"	4987423
"82"	"sediment_spring_eelgrass_19"	4255636
"83"	"sediment_spring_eelgrass_20"	4034813
"84"	"sediment_spring_eelgrass_21"	5682194
"85"	"sediment_spring_eelgrass_24"	6308836
"86"	"sediment_spring_eelgrass_25"	4394806
"87"	"sediment_spring_eelgrass_26"	3133894
"88"	"sediment_spring_eelgrass_27"	4309559
"89"	"sediment_spring_eelgrass_28"	4188323
"90"	"sediment_spring_eelgrass_29"	6010511
"91"	"sediment_spring_eelgrass_30"	3365110
"92"	"sediment_spring_eelgrass_31"	3404992
"93"	"sediment_spring_eelgrass_8"	987767
"94"	"sediment_spring_eelgrass_9"	4795074
"95"	"sediment_spring_rocks_1"	2653422
"96"	"sediment_spring_rocks_10"	4362545
"97"	"sediment_spring_rocks_11"	5010686
"98"	"sediment_spring_rocks_12"	3351049
"99"	"sediment_spring_rocks_13"	2003620
"100"	"sediment_spring_rocks_14"	2410031
"101"	"sediment_spring_rocks_15"	4630284
"102"	"sediment_spring_rocks_16"	5187245
"103"	"sediment_spring_rocks_17"	3140722
"104"	"sediment_spring_rocks_18"	2590331
"105"	"sediment_spring_rocks_19"	3127739
"106"	"sediment_spring_rocks_2"	3420914
"107"	"sediment_spring_rocks_20"	3625685
"108"	"sediment_spring_rocks_21"	6953070
"109"	"sediment_spring_rocks_23"	3761970
"110"	"sediment_spring_rocks_24"	4927041
"111"	"sediment_spring_rocks_25"	4075084
"112"	"sediment_spring_rocks_26"	7071998
"113"	"sediment_spring_rocks_27"	3248862
"114"	"sediment_spring_rocks_28"	4119299
"115"	"sediment_spring_rocks_29"	4696674
"116"	"sediment_spring_rocks_3"	5302273
"117"	"sediment_spring_rocks_30"	3801214
"118"	"sediment_spring_rocks_31"	4649085
"119"	"sediment_spring_rocks_32"	4719717
"120"	"sediment_spring_rocks_33"	3385404
"121"	"sediment_spring_rocks_4"	2473527
"122"	"sediment_spring_rocks_5"	2748112
"123"	"sediment_spring_rocks_6"	3575344
"124"	"sediment_spring_rocks_7"	2582914
"125"	"sediment_spring_rocks_8"	3463011
"126"	"sediment_spring_rocks_9"	4177751
"127"	"sediment_spring_sand_1"	3343232
"128"	"sediment_spring_sand_10"	4560233
"129"	"sediment_spring_sand_11"	3479106
"130"	"sediment_spring_sand_12"	4008959
"131"	"sediment_spring_sand_13"	3642101
"132"	"sediment_spring_sand_14"	4315265
"133"	"sediment_spring_sand_15"	3908033
"134"	"sediment_spring_sand_16"	4144202
"135"	"sediment_spring_sand_17"	4296803
"136"	"sediment_spring_sand_18"	3005281
"137"	"sediment_spring_sand_19"	3746685
"138"	"sediment_spring_sand_20"	3480542
"139"	"sediment_spring_sand_21"	4196321
"140"	"sediment_spring_sand_23"	4110083
"141"	"sediment_spring_sand_24"	5096352
"142"	"sediment_spring_sand_25"	3078637
"143"	"sediment_spring_sand_26"	5320649
"144"	"sediment_spring_sand_27"	4513211
"145"	"sediment_spring_sand_28"	5990991
"146"	"sediment_spring_sand_29"	3750070
"147"	"sediment_spring_sand_3"	4040529
"148"	"sediment_spring_sand_30"	4521583
"149"	"sediment_spring_sand_31"	4278552
"150"	"sediment_spring_sand_32"	2002720
"151"	"sediment_spring_sand_33"	3686084
"152"	"sediment_spring_sand_4"	4218544
"153"	"sediment_spring_sand_5"	2749817
"154"	"sediment_spring_sand_6"	4006551
"155"	"sediment_spring_sand_7"	1993887
"156"	"sediment_spring_sand_8"	2633206
"157"	"sediment_spring_sand_9"	2974565
"158"	"water_autumn_eelgrass_10"	6795939
"159"	"water_autumn_eelgrass_16"	2984321
"160"	"water_autumn_eelgrass_17"	4354874
"161"	"water_autumn_eelgrass_19"	5276008
"162"	"water_autumn_eelgrass_20"	2178600
"163"	"water_autumn_eelgrass_21"	5539458
"164"	"water_autumn_eelgrass_24"	5797412
"165"	"water_autumn_eelgrass_25"	3546475
"166"	"water_autumn_eelgrass_26"	5966705
"167"	"water_autumn_eelgrass_27"	4812524
"168"	"water_autumn_eelgrass_28"	6877434
"169"	"water_autumn_eelgrass_29"	5869259
"170"	"water_autumn_eelgrass_30"	7274620
"171"	"water_autumn_eelgrass_31"	6388581
"172"	"water_autumn_eelgrass_8"	9289733
"173"	"water_autumn_eelgrass_9"	11834248
"174"	"water_autumn_rocks_1"	5543053
"175"	"water_autumn_rocks_10"	5273874
"176"	"water_autumn_rocks_11"	7322026
"177"	"water_autumn_rocks_12"	7433023
"178"	"water_autumn_rocks_13"	2953883
"179"	"water_autumn_rocks_14"	6664187
"180"	"water_autumn_rocks_15"	4679512
"181"	"water_autumn_rocks_16"	3592697
"182"	"water_autumn_rocks_17"	7888051
"183"	"water_autumn_rocks_18"	5977404
"184"	"water_autumn_rocks_19"	4684941
"185"	"water_autumn_rocks_20"	1135462
"186"	"water_autumn_rocks_21"	4832841
"187"	"water_autumn_rocks_23"	5015545
"188"	"water_autumn_rocks_24"	3462885
"189"	"water_autumn_rocks_25"	2744303
"190"	"water_autumn_rocks_26"	5110579
"191"	"water_autumn_rocks_27"	5325001
"192"	"water_autumn_rocks_28"	6909351
"193"	"water_autumn_rocks_29"	6871460
"194"	"water_autumn_rocks_3"	6103215
"195"	"water_autumn_rocks_30"	5460481
"196"	"water_autumn_rocks_31"	11864531
"197"	"water_autumn_rocks_32"	5728264
"198"	"water_autumn_rocks_33"	5896642
"199"	"water_autumn_rocks_4"	4906936
"200"	"water_autumn_rocks_5"	5147960
"201"	"water_autumn_rocks_6"	5965336
"202"	"water_autumn_rocks_7"	4352095
"203"	"water_autumn_rocks_8"	6470671
"204"	"water_autumn_rocks_9"	10937488
"205"	"water_autumn_sand_1"	5088035
"206"	"water_autumn_sand_10"	5249251
"207"	"water_autumn_sand_11"	6024770
"208"	"water_autumn_sand_12"	6291358
"209"	"water_autumn_sand_13"	3817739
"210"	"water_autumn_sand_14"	8253718
"211"	"water_autumn_sand_15"	7162731
"212"	"water_autumn_sand_16"	5254247
"213"	"water_autumn_sand_17"	6380564
"214"	"water_autumn_sand_18"	5849111
"215"	"water_autumn_sand_19"	3585076
"216"	"water_autumn_sand_20"	2477000
"217"	"water_autumn_sand_21"	5613415
"218"	"water_autumn_sand_23"	5442268
"219"	"water_autumn_sand_24"	3525920
"220"	"water_autumn_sand_25"	4420410
"221"	"water_autumn_sand_26"	4184273
"222"	"water_autumn_sand_27"	6175235
"223"	"water_autumn_sand_28"	4480537
"224"	"water_autumn_sand_29"	7441180
"225"	"water_autumn_sand_3"	5558643
"226"	"water_autumn_sand_30"	10469837
"227"	"water_autumn_sand_31"	4090919
"228"	"water_autumn_sand_32"	8284219
"229"	"water_autumn_sand_33"	7590472
"230"	"water_autumn_sand_4"	5193711
"231"	"water_autumn_sand_5"	3472737
"232"	"water_autumn_sand_6"	6474062
"233"	"water_autumn_sand_7"	5122465
"234"	"water_autumn_sand_8"	6188430
"235"	"water_autumn_sand_9"	10218083
"236"	"water_spring_eelgrass_10"	6012891
"237"	"water_spring_eelgrass_16"	6288813
"238"	"water_spring_eelgrass_17"	7133689
"239"	"water_spring_eelgrass_19"	7687725
