phylum	class	new_phylum	new_class	marine	possibly_marine
Onychophora	Udeonychophora	Onychophora	Udeonychophora	no	no
Oomycota	NA	Oomycota	Oomycota*	NA	yes
NA	Pelagophyceae	Pelagophyceae*	Pelagophyceae	yes	yes
NA	Phaeophyceae	Phaeophyceae*	Phaeophyceae	yes	yes
Placozoa	NA	Placozoa	Placozoa*	NA	yes
Platyhelminthes	Cestoda	Platyhelminthes	Cestoda	yes	yes
Platyhelminthes	Rhabditophora	Platyhelminthes	Rhabditophora	yes	yes
Platyhelminthes	Trematoda	Platyhelminthes	Trematoda	yes	yes
Porifera	Demospongiae	Porifera	Demospongiae	yes	yes
Porifera	Homoscleromorpha	Porifera	Homoscleromorpha	yes	yes
Prasinodermophyta	Prasinodermophyceae	Prasinodermophyta	Prasinodermophyceae	yes	yes
NA	Raphidophyceae	Raphidophyceae*	Raphidophyceae	yes	yes
Rhodophyta	Bangiophyceae	Rhodophyta	Bangiophyceae	yes	yes
Rhodophyta	Compsopogonophyceae	Rhodophyta	Compsopogonophyceae	yes	yes
Rhodophyta	Florideophyceae	Rhodophyta	Florideophyceae	yes	yes
Rotifera	Eurotatoria	Rotifera	Eurotatoria	yes	yes
Streptophyta	Magnoliopsida	Streptophyta	Magnoliopsida	yes	yes
Streptophyta	Zygnemophyceae	Streptophyta	Zygnemophyceae	no	no
NA	Synurophyceae	Synurophyceae*	Synurophyceae	yes	yes
Tardigrada	Heterotardigrada	Tardigrada	Heterotardigrada	yes	yes
Tubulinea	Echinamoebida	Tubulinea	Echinamoebida	no	no
Tubulinea	Elardia	Tubulinea	Elardia	yes	yes
Xenacoelomorpha	NA	Xenacoelomorpha	Xenacoelomorpha*	NA	yes
Zoopagomycota	Harpellomycetes	Zoopagomycota	Harpellomycetes	no	no
