phylum	class	phylum_class	new_phylum	new_class	marine	top_MOTU_class	pident_max_class	total_reads_class	class_DK_GBIF	class_SCAND_GBIF	notes
Chlorophyta	Trebouxiophyceae	Chlorophyta_Trebouxiophyceae	Chlorophyta	Trebouxiophyceae	yes	Chlorella	100	14597	yes	yes	NA
Chlorophyta	Ulvophyceae	Chlorophyta_Ulvophyceae	Chlorophyta	Ulvophyceae	yes	Codium	100	6183	yes	yes	most marine
Chordata	Actinopteri	Chordata_Actinopteri	Chordata	Actinopteri	yes	Solea solea	100	227663	yes	yes	NA
Chordata	Amphibia	Chordata_Amphibia	Chordata	Amphibia	no	Lithobates	100	2114	0	0	NA
Chordata	Ascidiacea	Chordata_Ascidiacea	Chordata	Ascidiacea	yes	Ascidiella aspersa	100	232961	yes	yes	NA
Chordata	Aves	Chordata_Aves	Chordata	Aves	no	Fulica atra	100	50729	#N/A	#N/A	#N/A
Chordata	Chondrichthyes	Chordata_Chondrichthyes	Chordata	Chondrichthyes	yes	Galeus	72.327	182	yes	yes	NA
Chordata	Leptocardii	Chordata_Leptocardii	Chordata	Leptocardii	yes	Branchiostoma lanceolatum	100	181	yes	yes	NA
Chordata	Mammalia	Chordata_Mammalia	Chordata	Mammalia	yes	Miniopterus	100	19707	yes	yes	only some marine groups
Chytridiomycota	Chytridiomycetes	Chytridiomycota_Chytridiomycetes	Chytridiomycota	Chytridiomycetes	yes	Synchytrium	85.174	6521	yes	yes	NA
Cnidaria	Anthozoa	Cnidaria_Anthozoa	Cnidaria	Anthozoa	yes	Metridium senile	100	12351	yes	yes	NA
Cnidaria	Hydrozoa	Cnidaria_Hydrozoa	Cnidaria	Hydrozoa	yes	Eudendrium	100	9408157	yes	yes	NA
Cnidaria	Scyphozoa	Cnidaria_Scyphozoa	Cnidaria	Scyphozoa	yes	Aurelia aurita	100	1305873	yes	yes	NA
Cnidaria	Staurozoa	Cnidaria_Staurozoa	Cnidaria	Staurozoa	yes	Haliclystus	100	6606	yes	yes	NA
Ctenophora	Tentaculata	Ctenophora_Tentaculata	Ctenophora	Tentaculata	yes	Mnemiopsis leidyi	99.684	44773	yes	yes	NA
Discosea	Flabellinia	Discosea_Flabellinia	Discosea	Flabellinia	yes	Paramoeba	100	648589	yes	yes	NA
Discosea	NA	Discosea_NA	Discosea	NA	NA	Phytopythium	100	9963080	#N/A	#N/A	#N/A
Echinodermata	Asteroidea	Echinodermata_Asteroidea	Echinodermata	Asteroidea	yes	Asterias rubens	100	33604	yes	yes	NA
Echinodermata	Crinoidea	Echinodermata_Crinoidea	Echinodermata	Crinoidea	yes	Alloeocomatella	79.618	37757	yes	yes	#N/A
Echinodermata	Echinoidea	Echinodermata_Echinoidea	Echinodermata	Echinoidea	yes	Echinocardium cordatum	100	1581574	yes	yes	NA
Echinodermata	Holothuroidea	Echinodermata_Holothuroidea	Echinodermata	Holothuroidea	yes	Mesothuria	73.418	3554	yes	yes	NA
Echinodermata	Ophiuroidea	Echinodermata_Ophiuroidea	Echinodermata	Ophiuroidea	yes	Ophiura albida	100	2505	yes	yes	NA
Endomyxa	Phytomyxea	Endomyxa_Phytomyxea	Endomyxa	Phytomyxea	yes	Spongospora	84.762	67	yes	yes	NA
