kingdom	phylum	class
seq103096	Chromista	Myzozoa	Dinophyceae
seq10313	Chromista	Ciliophora	Spirotrichea
seq103149	Chromista	Ciliophora	Litostomatea
seq103179	Chromista	Apicomplexa	Conoidasida
seq10318	Metazoa	Arthropoda	Insecta
seq10323	Chromista	Ciliophora	Litostomatea
seq103230	Chromista	Bacillariophyta	Coscinodiscophyceae
seq10324	Chromista	Ciliophora	Oligohymenophorea
seq1033	Metazoa	Arthropoda	Hexanauplia
seq10331	Chromista	Myzozoa	Dinophyceae
seq103320	Chromista	Cercozoa	Thecofilosea
seq103323	Metazoa	Echinodermata	Holothuroidea
seq10335	Chromista	Ciliophora	Oligohymenophorea
seq10337	Metazoa	Nematoda	Chromadorea
seq1034	Chromista	Myzozoa	Dinophyceae
seq10341	Chromista	NA	Bigyra
seq103436	Chromista	Apicomplexa	Conoidasida
seq103472	Metazoa	Nemertea	Palaeonemertea
seq103478	Metazoa	Nematoda	Chromadorea
seq103481	Metazoa	Nematoda	Chromadorea
seq1035	Metazoa	Arthropoda	Ostracoda
seq1036	Chromista	Ciliophora	Spirotrichea
seq103613	Chromista	Ciliophora	Spirotrichea
seq10365	Chromista	Ciliophora	Litostomatea
seq103697	Chromista	Myzozoa	Dinophyceae
seq10370	Chromista	Ciliophora	Spirotrichea
seq103728	Protozoa	Discosea	Flabellinia
seq10373	Chromista	Cryptophyta	Cryptophyceae
seq10377	Metazoa	Porifera	Calcarea
seq103809	Chromista	Ciliophora	Litostomatea
seq103845	Chromista	Myzozoa	Dinophyceae
seq103846	Chromista	Bacillariophyta	Bacillariophyceae
seq103884	Chromista	Myzozoa	Dinophyceae
seq1039	Fungi	Ascomycota	Saccharomycetes
seq103912	Metazoa	Nematoda	Chromadorea
seq103914	Metazoa	Annelida	Polychaeta
seq103972	Metazoa	Annelida	Clitellata
seq103987	Metazoa	Nematoda	Chromadorea
seq104	Metazoa	Arthropoda	Hexanauplia
seq1040	Metazoa	Platyhelminthes	Rhabditophora
seq10400	Metazoa	Mollusca	Bivalvia
seq10402	Chromista	Ciliophora	Spirotrichea
seq10408	Metazoa	Nematoda	Chromadorea
seq10410	Chromista	Ciliophora	Plagiopylea
seq104145	Chromista	Ochrophyta	Chrysophyceae
seq104149	Chromista	Ciliophora	Karyorelictea
seq10418	Metazoa	Nematoda	Enoplea
seq10424	Chromista	Myzozoa	Dinophyceae
seq104287	Chromista	Ciliophora	Karyorelictea
seq10433	Chromista	Ciliophora	Oligohymenophorea
seq104341	Chromista	Myzozoa	Dinophyceae
seq10441	Chromista	Ciliophora	Spirotrichea
seq104429	Fungi	Basidiomycota	Tritirachiomycetes
seq10444	Metazoa	Nematoda	Chromadorea
seq104461	Chromista	Bacillariophyta	Bacillariophyceae
seq10448	Fungi	Chytridiomycota	Chytridiomycetes
seq104492	Metazoa	Nematoda	Chromadorea
seq1045	Chromista	Ciliophora	Oligohymenophorea
seq10452	Chromista	Myzozoa	Dinophyceae
seq10458	Chromista	Myzozoa	Dinophyceae
seq104596	Metazoa	Nematoda	Chromadorea
seq1046	Metazoa	Arthropoda	Hexanauplia
seq10461	Chromista	Bacillariophyta	Bacillariophyceae
seq10465	Metazoa	Nematoda	Chromadorea
seq104654	Metazoa	Platyhelminthes	Rhabditophora
seq10468	Chromista	Bacillariophyta	Bacillariophyceae
seq104686	Protozoa	Discosea	Flabellinia
seq10474	Metazoa	Nematoda	Chromadorea
seq10477	Metazoa	Annelida	Polychaeta
seq104796	Chromista	Cercozoa	Imbricatea
seq1048	Chromista	Bacillariophyta	Coscinodiscophyceae
seq10483	Fungi	Chytridiomycota	Chytridiomycetes
seq104856	Protozoa	Sulcozoa	Breviatea
seq104857	Metazoa	Nematoda	Enoplea
seq10486	Chromista	Bacillariophyta	Bacillariophyceae
seq104916	Chromista	Ciliophora	Nassophorea
seq10493	Metazoa	Platyhelminthes	Rhabditophora
seq10497	Chromista	Ciliophora	Spirotrichea
seq10498	Metazoa	Mollusca	Gastropoda
seq1050	Chromista	Ciliophora	Spirotrichea
seq105005	Chromista	Myzozoa	Dinophyceae
seq1051	Metazoa	Arthropoda	Ostracoda
seq105105	Chromista	Ciliophora	Oligohymenophorea
seq105136	Chromista	Cercozoa	Thecofilosea
seq105144	Chromista	Ciliophora	Litostomatea
seq105163	Plantae	Chlorophyta	Chlorophyceae
seq10518	Metazoa	Platyhelminthes	Rhabditophora
seq105198	Metazoa	Mollusca	Bivalvia
seq10520	Plantae	Streptophyta	Polytrichopsida
seq10521	Metazoa	Nematoda	Chromadorea
seq105220	Metazoa	Mollusca	Gastropoda
seq105254	Protozoa	Discosea	Flabellinia
seq105257	Chromista	Ciliophora	Litostomatea
seq105258	Chromista	Ciliophora	Colpodea
seq105259	Chromista	Ciliophora	Colpodea
seq10526	Chromista	Ochrophyta	Raphidophyceae
seq105261	Metazoa	Chordata	Chondrichthyes
seq1053	Metazoa	Cnidaria	Hydrozoa
seq10531	Chromista	Ciliophora	Spirotrichea
seq105349	Chromista	Myzozoa	Dinophyceae
seq105376	Chromista	Ciliophora	Spirotrichea
seq105388	Chromista	Myzozoa	Dinophyceae
seq1054	Chromista	Myzozoa	Dinophyceae
seq10544	Chromista	Bacillariophyta	Mediophyceae
seq105479	Plantae	Streptophyta	Magnoliopsida
seq10549	Chromista	Ciliophora	Spirotrichea
seq1055	Chromista	Myzozoa	Dinophyceae
seq10550	Chromista	Ciliophora	Litostomatea
seq105526	Metazoa	Platyhelminthes	Trematoda
seq105589	Chromista	Cercozoa	Imbricatea
seq10560	Chromista	Ciliophora	Litostomatea
seq10563	Chromista	Myzozoa	Dinophyceae
