kingdom	phylum	class
seq22799	Chromista	Ciliophora	Litostomatea
seq228	Chromista	Myzozoa	Dinophyceae
seq2280	Metazoa	Echinodermata	Ophiuroidea
seq22810	Chromista	NA	Bigyra
seq2282	Chromista	Bacillariophyta	Fragilariophyceae
seq2283	Fungi	Ascomycota	Saccharomycetes
seq22830	Chromista	Myzozoa	Dinophyceae
seq2284	Chromista	Myzozoa	Dinophyceae
seq22841	Chromista	Ciliophora	Spirotrichea
seq22851	Chromista	Bacillariophyta	Bacillariophyceae
seq22852	Chromista	Ciliophora	Litostomatea
seq22856	Chromista	Ciliophora	Litostomatea
seq22860	Chromista	Cercozoa	Imbricatea
seq22863	Chromista	Ciliophora	Spirotrichea
seq2287	Chromista	Bacillariophyta	Bacillariophyceae
seq22876	Chromista	Bacillariophyta	Bacillariophyceae
seq22878	Chromista	NA	Bigyra
seq2288	Chromista	Bacillariophyta	Bacillariophyceae
seq22885	Chromista	Ochrophyta	Dictyochophyceae
seq22894	Protozoa	Tubulinea	Elardia
seq22898	Fungi	Ascomycota	Sordariomycetes
seq2291	Chromista	Bacillariophyta	Bacillariophyceae
seq22912	Chromista	Ciliophora	Heterotrichea
seq22919	Chromista	Ciliophora	Heterotrichea
seq2293	Metazoa	Annelida	Polychaeta
seq2294	Metazoa	Arthropoda	Hexanauplia
seq22946	Chromista	Ochrophyta	Dictyochophyceae
seq22957	Chromista	Ciliophora	Prostomatea
seq22958	Chromista	NA	Bigyra
seq22960	Chromista	Endomyxa	Ascetosporea
seq22965	Chromista	Ciliophora	Litostomatea
seq22966	Chromista	Cryptophyta	Cryptophyceae
seq22967	Chromista	Myzozoa	Dinophyceae
seq22968	Chromista	Bacillariophyta	Bacillariophyceae
seq22969	Metazoa	Nematoda	Chromadorea
seq2297	Chromista	Bacillariophyta	Fragilariophyceae
seq22970	Chromista	Cercozoa	Imbricatea
seq22986	Chromista	Myzozoa	Dinophyceae
seq22988	Chromista	Ochrophyta	Dictyochophyceae
seq2299	Chromista	NA	Bigyra
seq22993	Chromista	Cercozoa	Imbricatea
seq22995	Chromista	Ciliophora	Litostomatea
seq23	Metazoa	Arthropoda	Hexanauplia
seq2301	Chromista	Ciliophora	Karyorelictea
seq23015	Chromista	Ochrophyta	Dictyochophyceae
seq2302	Fungi	Ascomycota	Saccharomycetes
seq23027	Chromista	Cryptophyta	Cryptophyceae
seq2303	Metazoa	Arthropoda	Hexanauplia
seq23037	Chromista	Ciliophora	Karyorelictea
seq23039	Chromista	NA	Bigyra
seq2305	Metazoa	Annelida	Polychaeta
seq23055	Metazoa	Arthropoda	Collembola
seq23059	Protozoa	Sulcozoa	Breviatea
seq2306	Metazoa	Arthropoda	Hexanauplia
seq23065	Metazoa	Platyhelminthes	Rhabditophora
seq23080	Chromista	Bacillariophyta	Bacillariophyceae
seq23085	Plantae	Chlorophyta	Mamiellophyceae
seq23090	Protozoa	Sulcozoa	Breviatea
seq2310	Chromista	Bacillariophyta	Coscinodiscophyceae
seq23113	Metazoa	Platyhelminthes	Rhabditophora
seq23116	Metazoa	Annelida	Polychaeta
seq23120	Chromista	Cercozoa	Thecofilosea
seq23122	Chromista	Bacillariophyta	Bacillariophyceae
seq23125	Chromista	NA	Bigyra
seq23127	Chromista	NA	Bigyra
seq2313	Chromista	Bacillariophyta	Bacillariophyceae
seq23152	Chromista	NA	Bigyra
seq23154	Chromista	Ciliophora	Oligohymenophorea
seq23160	Metazoa	Nematoda	Chromadorea
seq23164	Chromista	Bacillariophyta	Bacillariophyceae
seq23171	Chromista	Ciliophora	Oligohymenophorea
seq23175	Chromista	Ciliophora	Odontostomatea
seq23177	Chromista	NA	Bigyra
seq23178	Fungi	Zoopagomycota	Entomophthoromycetes
seq23179	Metazoa	Nematoda	Chromadorea
seq23207	Chromista	Ciliophora	Spirotrichea
seq23218	Chromista	Ciliophora	Spirotrichea
seq23219	Metazoa	Nematoda	Chromadorea
seq2322	Chromista	Ciliophora	Spirotrichea
seq2323	Chromista	Cercozoa	Imbricatea
seq23232	Metazoa	Nematoda	Chromadorea
seq23236	Chromista	Bacillariophyta	Bacillariophyceae
seq23237	Metazoa	Arthropoda	Hexanauplia
seq23239	Chromista	Ciliophora	Oligohymenophorea
seq2325	Chromista	Ochrophyta	Chrysophyceae
seq2326	Metazoa	Nematoda	Chromadorea
seq23274	Metazoa	Arthropoda	Collembola
seq23279	Fungi	Ascomycota	Saccharomycetes
seq2328	Metazoa	Annelida	Polychaeta
seq23285	Chromista	Ciliophora	Karyorelictea
seq233	Chromista	Cercozoa	Thecofilosea
seq23304	Metazoa	Ctenophora	Nuda
seq23307	Metazoa	Annelida	Polychaeta
seq23310	Chromista	Bacillariophyta	Fragilariophyceae
seq2332	Chromista	Cercozoa	Thecofilosea
seq23323	Chromista	Ciliophora	Litostomatea
seq23333	Chromista	Myzozoa	Dinophyceae
seq23335	Chromista	Cercozoa	Imbricatea
seq23336	Chromista	Myzozoa	Dinophyceae
seq23359	Chromista	Ciliophora	Oligohymenophorea
seq2336	Chromista	Ciliophora	Spirotrichea
seq23361	Metazoa	Mollusca	Gastropoda
seq23364	Plantae	Chlorophyta	Ulvophyceae
seq23369	Fungi	Basidiomycota	Atractiellomycetes
seq23372	Fungi	Ascomycota	Dothideomycetes
seq2338	Chromista	Myzozoa	Dinophyceae
seq23391	Fungi	Basidiomycota	Agaricomycetes
seq23392	Metazoa	Bryozoa	Gymnolaemata
seq23396	Chromista	NA	Bigyra
seq234	Metazoa	Annelida	Polychaeta
seq23424	Chromista	Cercozoa	Thecofilosea
seq23432	Chromista	Ciliophora	Spirotrichea
seq2346	Chromista	NA	Bigyra
seq23483	Chromista	Ciliophora	Prostomatea
seq23485	Chromista	Ciliophora	Odontostomatea
seq2349	Plantae	Rhodophyta	Florideophyceae
seq23499	Metazoa	Annelida	Polychaeta
seq2350	Chromista	Ciliophora	Heterotrichea
seq23503	Chromista	Cercozoa	Imbricatea
seq2351	Metazoa	Arthropoda	Hexanauplia
seq23519	Chromista	Bacillariophyta	Fragilariophyceae
seq23528	Plantae	Streptophyta	Magnoliopsida
seq23531	Chromista	Myzozoa	Dinophyceae
seq23534	Chromista	Bacillariophyta	Fragilariophyceae
seq23536	Chromista	Myzozoa	Dinophyceae
seq23548	Protozoa	NA	Choanoflagellata
seq23559	Fungi	Ascomycota	Eurotiomycetes
seq23574	Chromista	Myzozoa	Dinophyceae
seq23576	Chromista	Ciliophora	Heterotrichea
seq2358	Plantae	Chlorophyta	Trebouxiophyceae
seq2359	Chromista	Bacillariophyta	Fragilariophyceae
seq23593	Chromista	Cercozoa	Thecofilosea
seq236	Plantae	Streptophyta	Pinopsida
seq23603	Chromista	NA	Bigyra
seq23607	Chromista	Ochrophyta	Dictyochophyceae
seq23608	Metazoa	Platyhelminthes	Rhabditophora
seq23609	Chromista	Heliozoa	Centroplasthelida
seq23618	Metazoa	Nematoda	Chromadorea
seq2362	Chromista	NA	Bigyra
seq23626	Chromista	Ciliophora	Spirotrichea
seq2363	Chromista	Myzozoa	Dinophyceae
seq23637	Plantae	Chlorophyta	Pyramimonadophyceae
seq23645	Chromista	Ciliophora	Heterotrichea
seq23648	Chromista	Ciliophora	Karyorelictea
seq2365	Chromista	Bacillariophyta	Fragilariophyceae
seq23650	Chromista	Myzozoa	Dinophyceae
seq23660	Chromista	Apicomplexa	Conoidasida
seq23674	Fungi	Ascomycota	Eurotiomycetes
seq2368	Chromista	Bacillariophyta	Bacillariophyceae
seq2369	Metazoa	Nemertea	Enopla
seq237	Metazoa	Platyhelminthes	Rhabditophora
seq2370	Chromista	Ciliophora	Spirotrichea
seq23706	Chromista	Bacillariophyta	Bacillariophyceae
seq2371	Chromista	Bacillariophyta	Bacillariophyceae
seq23712	Chromista	Cryptophyta	Cryptophyceae
seq23717	Chromista	Cercozoa	Thecofilosea
seq23726	Chromista	Cercozoa	Imbricatea
seq2373	Plantae	Rhodophyta	Florideophyceae
seq23735	Chromista	Cryptophyta	Cryptophyceae
seq23740	Chromista	Bacillariophyta	Mediophyceae
seq23745	Protozoa	Choanozoa	Ichthyosporea
seq2375	Chromista	Ciliophora	Spirotrichea
seq23751	Chromista	Myzozoa	Dinophyceae
seq23753	Chromista	Ciliophora	Litostomatea
seq23759	Chromista	Bacillariophyta	Bacillariophyceae
seq2377	Chromista	Bacillariophyta	Bacillariophyceae
seq23770	Fungi	Chytridiomycota	Chytridiomycetes
seq23783	Chromista	Ciliophora	Litostomatea
seq23797	Chromista	Myzozoa	Dinophyceae
seq2380	Chromista	Bacillariophyta	Fragilariophyceae
seq23803	Chromista	NA	Bigyra
seq2381	Plantae	Rhodophyta	Florideophyceae
seq23823	Fungi	Ascomycota	Eurotiomycetes
seq23831	Metazoa	Nematoda	Chromadorea
seq23833	Metazoa	Arthropoda	Insecta
seq23847	Metazoa	Nematoda	Chromadorea
seq23854	Fungi	Zoopagomycota	Zoopagomycetes
seq2386	Chromista	Ochrophyta	Chrysophyceae
seq23869	Protozoa	Choanozoa	Ichthyosporea
seq23870	Metazoa	Nematoda	Chromadorea
seq23878	Metazoa	Platyhelminthes	Rhabditophora
seq2388	Chromista	NA	Bigyra
seq23899	Chromista	Cryptophyta	Cryptophyceae
seq239	Plantae	Streptophyta	Pinopsida
seq2390	Metazoa	Platyhelminthes	Rhabditophora
seq2391	Chromista	Bacillariophyta	Bacillariophyceae
seq23914	Protozoa	Choanozoa	Ichthyosporea
seq2392	Chromista	Bacillariophyta	Fragilariophyceae
seq23927	Plantae	Rhodophyta	Rhodellophyceae
seq23934	Chromista	Bacillariophyta	Bacillariophyceae
seq23947	Chromista	Ciliophora	Litostomatea
seq23949	Protozoa	Choanozoa	Ichthyosporea
seq23952	Chromista	Myzozoa	Dinophyceae
seq23955	Plantae	Chlorophyta	Nephroselmidophyceae
seq23971	Chromista	Ciliophora	Oligohymenophorea
seq23981	Protozoa	Sulcozoa	Breviatea
seq23983	Metazoa	Annelida	Polychaeta
seq2399	Metazoa	Nematoda	Chromadorea
seq23992	Fungi	Ascomycota	Sordariomycetes
seq23995	Chromista	Ciliophora	Spirotrichea
seq240	Metazoa	Platyhelminthes	Rhabditophora
seq24006	Protozoa	Sulcozoa	Breviatea
seq24011	Chromista	Ciliophora	Oligohymenophorea
seq24019	Metazoa	Arthropoda	Insecta
seq24020	Chromista	Heliozoa	Centroplasthelida
seq24027	Plantae	Rhodophyta	Bangiophyceae
seq24033	Chromista	Bacillariophyta	Bacillariophyceae
seq24041	Chromista	Ciliophora	Litostomatea
seq24044	Protozoa	Sulcozoa	Breviatea
seq24051	Chromista	Ciliophora	Oligohymenophorea
seq24052	Fungi	Ascomycota	Saccharomycetes
seq24063	Chromista	Bacillariophyta	Bacillariophyceae
seq24074	Metazoa	Annelida	Polychaeta
seq24077	Fungi	Ascomycota	Leotiomycetes
seq2408	Metazoa	Annelida	Polychaeta
seq24089	Chromista	Ochrophyta	Chrysophyceae
seq24091	Chromista	Ciliophora	Spirotrichea
seq2410	Chromista	Bacillariophyta	Bacillariophyceae
seq2411	Metazoa	Nemertea	Enopla
seq2412	Metazoa	Nematoda	Chromadorea
seq24134	Metazoa	Mollusca	Gastropoda
seq24138	Chromista	Ciliophora	Litostomatea
seq2414	Chromista	Ochrophyta	Dictyochophyceae
seq24140	Chromista	Ciliophora	Spirotrichea
seq24143	Metazoa	Arthropoda	Thecostraca
seq24154	Chromista	NA	Bigyra
seq2418	Metazoa	Platyhelminthes	Rhabditophora
seq24182	Metazoa	Nematoda	Chromadorea
seq242	Metazoa	Annelida	Polychaeta
seq2420	Metazoa	Nematoda	Chromadorea
seq24202	Plantae	Rhodophyta	Bangiophyceae
seq24228	Metazoa	Arthropoda	Hexanauplia
seq2423	Chromista	Bacillariophyta	Bacillariophyceae
seq24234	Fungi	Basidiomycota	Agaricomycetes
seq2425	Metazoa	Platyhelminthes	Rhabditophora
seq2426	Chromista	Ciliophora	Oligohymenophorea
seq24264	Chromista	Ciliophora	Spirotrichea
seq24266	Chromista	Apicomplexa	Conoidasida
seq24287	Chromista	Apicomplexa	Conoidasida
seq24295	Chromista	Bacillariophyta	Bacillariophyceae
seq24306	Protozoa	Tubulinea	Elardia
seq24317	Chromista	Myzozoa	Dinophyceae
seq24319	Chromista	Cercozoa	Imbricatea
seq2434	Chromista	Myzozoa	Dinophyceae
seq24349	Chromista	Myzozoa	Dinophyceae
seq24351	Chromista	Cercozoa	Thecofilosea
seq24356	Chromista	Ochrophyta	Dictyochophyceae
seq24362	Metazoa	Platyhelminthes	Rhabditophora
seq24364	Chromista	Bacillariophyta	Fragilariophyceae
seq24366	Chromista	NA	Bigyra
seq24378	Fungi	Ascomycota	Sordariomycetes
seq2438	Chromista	Ciliophora	Spirotrichea
seq24381	Chromista	Apicomplexa	Conoidasida
seq24393	Metazoa	Nematoda	Chromadorea
seq24395	Plantae	Chlorophyta	Chloropicophyceae
seq24398	Chromista	Endomyxa	Ascetosporea
seq244	Chromista	Cercozoa	Thecofilosea
seq2442	Chromista	Myzozoa	Dinophyceae
seq2443	Metazoa	Platyhelminthes	Rhabditophora
seq24430	Metazoa	Nematoda	Chromadorea
seq2444	Chromista	Cercozoa	Imbricatea
seq24447	Chromista	NA	Developea
seq2445	Metazoa	Mollusca	Bivalvia
seq24450	Metazoa	Nematoda	Chromadorea
seq24458	Chromista	Cercozoa	Imbricatea
seq24467	Chromista	Bacillariophyta	Coscinodiscophyceae
seq24471	Metazoa	Chordata	Ascidiacea
seq24497	Plantae	Chlorophyta	Mamiellophyceae
seq24498	Metazoa	Arthropoda	Hexanauplia
seq245	Metazoa	Annelida	Polychaeta
seq2450	Chromista	Ciliophora	Oligohymenophorea
seq24502	Chromista	Ciliophora	Litostomatea
seq24503	Fungi	Chytridiomycota	Chytridiomycetes
seq24505	Chromista	Ciliophora	Spirotrichea
seq24511	Chromista	Ciliophora	Spirotrichea
seq2452	Chromista	Cercozoa	Imbricatea
seq24520	Chromista	Myzozoa	Dinophyceae
seq24526	Chromista	NA	Bigyra
seq24530	Metazoa	Arthropoda	Hexanauplia
seq24537	Chromista	Myzozoa	Dinophyceae
seq2454	Chromista	Bacillariophyta	Bacillariophyceae
seq24541	Protozoa	Tubulinea	Elardia
seq2455	Metazoa	Platyhelminthes	Rhabditophora
seq2457	Metazoa	Platyhelminthes	Rhabditophora
seq24572	Chromista	Ciliophora	Spirotrichea
seq24574	Chromista	Cercozoa	Imbricatea
seq24579	Chromista	Myzozoa	Dinophyceae
seq24587	Metazoa	Platyhelminthes	Monogenea
seq24593	Plantae	Rhodophyta	Florideophyceae
seq2461	Chromista	Ciliophora	Oligohymenophorea
seq2462	Chromista	Ciliophora	Spirotrichea
seq2463	Metazoa	Nemertea	Enopla
seq24633	Chromista	Cercozoa	Thecofilosea
seq24634	Chromista	Ciliophora	Oligohymenophorea
seq2464	Metazoa	Nematoda	Chromadorea
seq2465	Chromista	Ciliophora	Oligohymenophorea
seq24657	Chromista	Myzozoa	Dinophyceae
seq2466	Chromista	Cercozoa	Imbricatea
seq24662	Chromista	Cercozoa	Imbricatea
seq24676	Metazoa	Platyhelminthes	Rhabditophora
seq24684	Metazoa	Mollusca	Gastropoda
seq24689	Chromista	Myzozoa	Dinophyceae
seq24696	Fungi	Basidiomycota	Atractiellomycetes
seq2470	Chromista	Cercozoa	Thecofilosea
seq24704	Chromista	Ciliophora	Spirotrichea
seq24706	Chromista	Ochrophyta	Dictyochophyceae
seq24719	Chromista	Myzozoa	Dinophyceae
seq24725	Chromista	Myzozoa	Dinophyceae
seq2473	Chromista	Bacillariophyta	Bacillariophyceae
seq24731	Chromista	Heliozoa	Centroplasthelida
seq24741	Chromista	Cryptophyta	Cryptophyceae
seq24758	Chromista	NA	Bigyra
seq24767	Fungi	Basidiomycota	Agaricomycetes
seq24771	Chromista	Bacillariophyta	Fragilariophyceae
seq24791	Chromista	Ochrophyta	Dictyochophyceae
seq248	Chromista	Ciliophora	Spirotrichea
seq24824	Protozoa	Choanozoa	Filasterea
seq24825	Chromista	Myzozoa	Dinophyceae
seq24830	Fungi	Ascomycota	Sordariomycetes
seq24837	Chromista	Cercozoa	Imbricatea
seq24842	Chromista	Myzozoa	Dinophyceae
seq24848	Chromista	Ochrophyta	Dictyochophyceae
seq2486	Chromista	Ochrophyta	Chrysophyceae
seq24868	Protozoa	Sulcozoa	Breviatea
seq2487	Chromista	Ciliophora	Heterotrichea
seq24880	Chromista	NA	Bigyra
seq24897	Chromista	Ciliophora	Parablepharismea
seq249	Metazoa	Annelida	Polychaeta
seq24906	Fungi	Zoopagomycota	Entomophthoromycetes
seq2491	Metazoa	Nematoda	Chromadorea
seq24918	Plantae	Rhodophyta	Florideophyceae
seq24922	Chromista	Ciliophora	Litostomatea
seq24927	Chromista	Ciliophora	Karyorelictea
seq24929	Protozoa	Sulcozoa	Breviatea
seq24932	Chromista	Myzozoa	Dinophyceae
seq24971	Chromista	Bacillariophyta	Fragilariophyceae
seq24973	Chromista	Myzozoa	Dinophyceae
seq24978	Chromista	NA	Developea
seq2498	Metazoa	Arthropoda	Hexanauplia
seq24982	Chromista	NA	Bigyra
seq24986	Protozoa	Tubulinea	Elardia
seq24988	Fungi	Ascomycota	Dothideomycetes
seq2499	Chromista	PX clade	Phaeophyceae
seq24995	Chromista	Ciliophora	Spirotrichea
seq25	Chromista	Myzozoa	Dinophyceae
seq250	Metazoa	Nemertea	Pilidiophora
seq25000	Chromista	Myzozoa	Dinophyceae
seq25018	Chromista	Ciliophora	Oligohymenophorea
seq25026	Protozoa	Tubulinea	Elardia
seq25032	Chromista	Myzozoa	Dinophyceae
seq25037	Chromista	Myzozoa	Dinophyceae
seq25042	Chromista	Ciliophora	Spirotrichea
seq25049	Chromista	Myzozoa	Dinophyceae
seq25051	Metazoa	Arthropoda	Hexanauplia
seq25057	Chromista	Bacillariophyta	Fragilariophyceae
seq25062	Chromista	Ciliophora	Litostomatea
seq25063	Chromista	Bacillariophyta	Bacillariophyceae
seq2507	Metazoa	Annelida	Polychaeta
seq25077	Chromista	Cercozoa	Imbricatea
seq25086	Chromista	Bacillariophyta	Fragilariophyceae
seq25096	Fungi	Chytridiomycota	Chytridiomycetes
seq251	Chromista	Ochrophyta	Chrysophyceae
seq25100	Protozoa	Sulcozoa	Breviatea
seq25113	Chromista	Ochrophyta	Pelagophyceae
seq25125	Chromista	Apicomplexa	Conoidasida
seq2513	Plantae	Chlorophyta	Trebouxiophyceae
seq25137	Chromista	NA	Bigyra
seq2514	Chromista	Ciliophora	Karyorelictea
seq25143	Metazoa	Platyhelminthes	Rhabditophora
seq2515	Metazoa	Platyhelminthes	Rhabditophora
seq2516	Metazoa	Nematoda	Chromadorea
seq2517	Metazoa	Mollusca	Bivalvia
seq25171	Metazoa	Nematoda	Chromadorea
seq25179	Chromista	Ochrophyta	Dictyochophyceae
seq25182	Metazoa	Nematoda	Chromadorea
seq2519	Protozoa	Choanozoa	Ichthyosporea
seq25197	Metazoa	Nemertea	Pilidiophora
seq252	Metazoa	Nemertea	Pilidiophora
seq25210	Protozoa	NA	Choanoflagellata
seq25219	Chromista	Apicomplexa	Conoidasida
seq25237	Chromista	NA	Bigyra
seq25249	Protozoa	Tubulinea	Elardia
seq25263	Protozoa	Sulcozoa	Breviatea
seq2527	Chromista	Bacillariophyta	Bacillariophyceae
seq25275	Fungi	Basidiomycota	Agaricomycetes
seq25288	Plantae	Chlorophyta	Ulvophyceae
seq25291	Plantae	Rhodophyta	Florideophyceae
seq25294	Chromista	Heliozoa	Centroplasthelida
seq253	Chromista	Ciliophora	Spirotrichea
seq25312	Chromista	Ciliophora	Spirotrichea
seq25319	Metazoa	Nematoda	Chromadorea
seq2532	Protozoa	Choanozoa	Ichthyosporea
seq25320	Chromista	Myzozoa	Dinophyceae
seq25321	Protozoa	Euglenozoa	Euglenida
seq25328	Fungi	Chytridiomycota	Chytridiomycetes
seq25333	Chromista	Ochrophyta	Chrysophyceae
seq25334	Fungi	Chytridiomycota	Chytridiomycetes
seq25335	Metazoa	Arthropoda	Hexanauplia
seq25355	Metazoa	Nematoda	Chromadorea
seq25359	Metazoa	Mollusca	Bivalvia
seq25362	Plantae	Chlorophyta	Nephroselmidophyceae
seq25364	Metazoa	Arthropoda	Hexanauplia
seq25368	Protozoa	Euglenozoa	Euglenida
seq2537	Metazoa	Annelida	Polychaeta
seq2538	Metazoa	Nematoda	Chromadorea
seq25383	Chromista	Cryptophyta	Cryptophyceae
seq2539	Metazoa	Annelida	Polychaeta
seq254	Chromista	Ochrophyta	Dictyochophyceae
seq25407	Metazoa	Arthropoda	Hexanauplia
seq2541	Chromista	Ciliophora	Spirotrichea
seq25414	Metazoa	Nematoda	Chromadorea
seq2542	Chromista	NA	Bigyra
seq25426	Metazoa	Platyhelminthes	Rhabditophora
seq2543	Chromista	Bacillariophyta	Bacillariophyceae
seq25438	Chromista	Cryptophyta	Cryptophyceae
seq25440	Chromista	Ciliophora	Litostomatea
seq25445	Chromista	Cryptophyta	Cryptophyceae
seq2545	Chromista	Ochrophyta	Chrysophyceae
seq25450	Fungi	Chytridiomycota	Chytridiomycetes
seq25457	Chromista	Bacillariophyta	Bacillariophyceae
seq25460	Chromista	Ciliophora	Oligohymenophorea
seq25461	Metazoa	Nematoda	Chromadorea
seq25474	Plantae	Rhodophyta	Rhodellophyceae
seq2548	Metazoa	Platyhelminthes	Rhabditophora
seq25495	Chromista	Bacillariophyta	Fragilariophyceae
seq2550	Metazoa	Platyhelminthes	Rhabditophora
seq25510	Chromista	Ciliophora	Spirotrichea
seq25511	Chromista	Bacillariophyta	Bacillariophyceae
seq25515	Chromista	Ciliophora	Oligohymenophorea
seq25523	Metazoa	Nematoda	Chromadorea
seq25526	Chromista	Ciliophora	Karyorelictea
seq25539	Chromista	Ciliophora	Litostomatea
seq2554	Metazoa	Chordata	Actinopteri
seq25549	Chromista	Ochrophyta	Pelagophyceae
seq2555	Metazoa	Mollusca	Bivalvia
seq25551	Chromista	Cryptophyta	Cryptophyceae
seq25552	Fungi	Chytridiomycota	Chytridiomycetes
seq25554	Chromista	Ciliophora	Litostomatea
seq2556	Metazoa	Arthropoda	Arachnida
seq25564	Fungi	Basidiomycota	Agaricomycetes
seq2557	Chromista	Ciliophora	Oligohymenophorea
seq25576	Chromista	NA	Hyphochytriomycetes
seq25578	Chromista	NA	Bigyra
seq25582	Chromista	Ciliophora	Spirotrichea
seq25584	Chromista	Myzozoa	Dinophyceae
seq25591	Chromista	Ciliophora	Karyorelictea
seq25599	Chromista	Cryptophyta	Cryptophyceae
seq256	Metazoa	Platyhelminthes	Rhabditophora
seq2560	Metazoa	Mollusca	Bivalvia
seq25605	Plantae	Rhodophyta	Florideophyceae
seq25612	Chromista	PX clade	Xanthophyceae
seq25613	Fungi	Zoopagomycota	Zoopagomycetes
seq25616	Metazoa	Platyhelminthes	Monogenea
seq25625	Chromista	Cercozoa	Imbricatea
seq25631	Chromista	Ciliophora	Oligohymenophorea
seq25643	Chromista	Cryptophyta	Cryptophyceae
seq25654	Plantae	Chlorophyta	Chloropicophyceae
seq25658	Protozoa	Sulcozoa	Breviatea
seq25662	Protozoa	Tubulinea	Elardia
seq25668	Metazoa	Arthropoda	Hexanauplia
seq25677	Protozoa	NA	Choanoflagellata
seq2568	Chromista	Ciliophora	Oligohymenophorea
seq25682	Chromista	Ciliophora	Oligohymenophorea
seq25692	Metazoa	Cnidaria	Hydrozoa
seq257	Metazoa	Arthropoda	Hexanauplia
seq25707	Metazoa	Mollusca	Bivalvia
seq25723	Chromista	Apicomplexa	Conoidasida
seq25732	Plantae	Chlorophyta	Pyramimonadophyceae
seq25739	Chromista	Ciliophora	Plagiopylea
seq25755	Chromista	Ciliophora	Oligohymenophorea
seq25757	Chromista	Cryptophyta	Cryptophyceae
seq25768	Chromista	Bacillariophyta	Fragilariophyceae
seq25789	Chromista	Ochrophyta	Dictyochophyceae
seq2579	Protozoa	Sulcozoa	Breviatea
seq25790	Chromista	Cryptophyta	Cryptophyceae
seq25792	Chromista	Bacillariophyta	Bacillariophyceae
seq258	Chromista	Ciliophora	Spirotrichea
seq25802	Protozoa	Choanozoa	Filasterea
seq25803	Fungi	Chytridiomycota	Chytridiomycetes
seq25807	Metazoa	Annelida	Polychaeta
seq25814	Fungi	Basidiomycota	Agaricomycetes
seq25827	Chromista	Cercozoa	Imbricatea
seq25835	Chromista	NA	Bigyra
seq2584	Metazoa	Chordata	Ascidiacea
seq25840	Fungi	Ascomycota	Sordariomycetes
seq2585	Chromista	Ochrophyta	Synurophyceae
seq25851	Chromista	Bacillariophyta	Bacillariophyceae
seq25853	Chromista	Myzozoa	Dinophyceae
seq25865	Fungi	Ascomycota	Sordariomycetes
seq25877	Chromista	Apicomplexa	Conoidasida
seq25878	Chromista	Ciliophora	Litostomatea
seq25886	Chromista	Myzozoa	Dinophyceae
seq25887	Chromista	Myzozoa	Dinophyceae
seq25891	Fungi	Basidiomycota	Agaricomycetes
seq25895	Metazoa	Chordata	Ascidiacea
seq25906	Chromista	Apicomplexa	Conoidasida
seq25908	Chromista	Bacillariophyta	Bacillariophyceae
seq25918	Chromista	NA	Bigyra
seq25919	Fungi	Chytridiomycota	Chytridiomycetes
seq25927	Chromista	NA	Bigyra
seq25931	Chromista	Myzozoa	Dinophyceae
seq25933	Chromista	Cercozoa	Imbricatea
seq2594	Protozoa	Sulcozoa	Breviatea
seq25940	Chromista	Ochrophyta	Chrysophyceae
seq25952	Chromista	Cercozoa	Imbricatea
seq2597	Chromista	Ochrophyta	Synurophyceae
seq25973	Chromista	Apicomplexa	Conoidasida
seq2598	Chromista	Bacillariophyta	Fragilariophyceae
seq25995	Chromista	Heliozoa	Centroplasthelida
seq26	Metazoa	Arthropoda	Ostracoda
seq260	Metazoa	Platyhelminthes	Rhabditophora
seq26007	Protozoa	Tubulinea	Elardia
seq2601	Chromista	NA	Bigyra
seq26011	Chromista	Ciliophora	Prostomatea
seq26013	Chromista	Ciliophora	Litostomatea
seq26017	Fungi	Chytridiomycota	Chytridiomycetes
seq26027	Fungi	Chytridiomycota	Chytridiomycetes
seq26029	Chromista	Myzozoa	Dinophyceae
seq26035	Chromista	Heliozoa	Centroplasthelida
seq26042	Chromista	Ciliophora	Oligohymenophorea
seq26045	Chromista	Myzozoa	Dinophyceae
seq2606	Protozoa	NA	Choanoflagellata
seq26064	Chromista	Cercozoa	Chlorarachniophyceae
seq2607	Metazoa	Mollusca	Bivalvia
seq26073	Metazoa	Platyhelminthes	Rhabditophora
seq26088	Chromista	NA	Hyphochytriomycetes
seq26089	Chromista	Myzozoa	Dinophyceae
seq26093	Chromista	Ciliophora	Spirotrichea
seq26095	Chromista	Heliozoa	Centroplasthelida
seq261	Chromista	Ochrophyta	Dictyochophyceae
seq26102	Chromista	Cercozoa	Imbricatea
seq26103	Metazoa	Platyhelminthes	Rhabditophora
seq26111	Metazoa	Nematoda	Enoplea
seq2612	Metazoa	Chordata	Actinopteri
seq26129	Plantae	Rhodophyta	Bangiophyceae
seq2613	Chromista	Ciliophora	Spirotrichea
seq2615	Chromista	Ciliophora	Spirotrichea
seq26152	Chromista	Myzozoa	Dinophyceae
seq26153	Metazoa	Nematoda	Chromadorea
seq26155	Chromista	Ciliophora	Oligohymenophorea
seq26164	Chromista	Myzozoa	Dinophyceae
seq26170	Chromista	Cercozoa	Imbricatea
seq2618	Chromista	Bacillariophyta	Fragilariophyceae
seq26182	Chromista	Ciliophora	Litostomatea
seq26184	Chromista	Myzozoa	Dinophyceae
seq2619	Chromista	Ciliophora	Spirotrichea
seq26196	Chromista	Myzozoa	Dinophyceae
seq26197	Metazoa	Mollusca	Bivalvia
seq2621	Plantae	Rhodophyta	Florideophyceae
