phylum	class	top_MOTU_class	pident_max_class	total_reads_class
Echinodermata	Asteroidea	NA	100	5095296
Mucoromycota	Mucoromycetes	NA	100	25502
NA	Filasterea	Ministeria vibrans	100	1980
NA	Aphelidea	Paraphelidium	99.02	535
NA	Eustigmatophyceae	NA	100	1017234
Chlorophyta	Chloropicophyceae	NA	100	8680
Ascomycota	Leotiomycetes	Blumeria	100	29083
Ciliophora	Parablepharismea	Parablepharisma	100	4671
Basidiomycota	Cystobasidiomycetes	NA	100	962
Basidiomycota	Pucciniomycetes	Pucciniomycetes	100	22818
Ascomycota	Lecanoromycetes	Lecanorales	100	1427
Rhodophyta	Compsopogonophyceae	Erythropeltidales	100	168871
NA	Bolidophyceae	Triparma pacifica	100	794705
Basidiomycota	Classiculomycetes	Classicula	95	777
Chytridiomycota	Monoblepharidomycetes	Harpochytrium	93.137	3063
Rhodophyta	Stylonematophyceae	Rhodophyta	100	1855
Echinodermata	Ophiuroidea	Echinodermata	100	202733
Rhodophyta	Rhodellophyceae	Rhodella	100	545727
Ctenophora	Nuda	Ctenophora	99.01	2651
Zoopagomycota	Zoopagomycetes	Acaulopage dichotoma	100	1659
Nemertea	Pilidiophora	NA	100	3173928
Euglenozoa	Euglenida	Lentomonas corrugata	100	63608
Mollusca	Polyplacophora	Lepidochitona cinerea	100	103787
Tardigrada	Heterotardigrada	Echiniscoides sigismundi	100	102945
Basidiomycota	Ustilaginomycetes	Ustilago filiformis	100	45880
Basidiomycota	Wallemiomycetes	Wallemia	100	1912
Basidiomycota	Exobasidiomycetes	NA	100	31007
Streptophyta	Klebsormidiophyceae	NA	100	1373
Streptophyta	Polypodiopsida	Polypodiopsida	100	1001
Platyhelminthes	Turbellaria	Ciliopharyngiella constricta	100	584
Arthropoda	Pycnogonida	Endeis	100	578
Kinorhyncha	Allomalorhagida	Pycnophyes	100	86836
Basidiomycota	Malasseziomycetes	NA	100	2892
Streptophyta	Marchantiopsida	Marchantia polymorpha	100	530
Kinorhyncha	Cyclorhagida	Echinoderes	96.296	613
Mucoromycota	Glomeromycetes	Gigaspora	91.176	22242
Apicomplexa	Marosporida	Rhytidocystis dobrovolskiji	99	30951
Chordata	Leptocardii	Branchiostoma	100	396
Ascomycota	Lichinomycetes	Lichina	100	272
Cnidaria	Staurozoa	Stauromedusae	100	48143
Ascomycota	Arthoniomycetes	Ascomycota	100	208
Blastocladiomycota	Blastocladiomycetes	Blastocladiales	99.074	239
Streptophyta	Anthocerotopsida	Megaceros	90.291	390
Basidiomycota	Agaricostilbomycetes	Kondoa	100	1593
Streptophyta	Chlorokybophyceae	Chlorokybus	90.196	52
Echinodermata	Echinoidea	Echinoidea	100	1476724
Acanthocephala	Palaeacanthocephala	Profilicollis	100	230
Ascomycota	Laboulbeniomycetes	Pyxidiophora arvernensis	100	137
Chordata	Amphibia	Anura	100	159
Tubulinea	Echinamoebida	Echinamoeba	97.222	184
Platyhelminthes	Catenulida	NA	100	176
Ascomycota	Taphrinomycetes	Taphrina	100	19947
NA	Synchromophyceae	Synchroma	100	146
Chordata	Mammalia	NA	100	39133
NA	Pinguiophyceae	Glossomastix	95.146	71
Bryozoa	Phylactolaemata	NA	100	539
NA	Aurearenophyceae	Aurearena	100	71
Chordata	Thaliacea	Doliolidae	100	13344
Mucoromycota	Endogonomycetes	Vinositunica	94.059	42
Mucoromycota	Umbelopsidomycetes	NA	100	27
Chlorophyta	Chlorodendrophyceae	NA	100	12766
