phylum	class
seq15806	NA	Bigyra
seq158075	Chytridiomycota	Chytridiomycetes
seq158076	Bacillariophyta	Bacillariophyceae
seq15808	NA	Bigyra
seq15810	Nematoda	Enoplea
seq15815	NA	Cryptophyceae
seq158240	Arthropoda	Malacostraca
seq1583	Annelida	Polychaeta
seq15830	NA	Ichthyosporea
seq15839	Ciliophora	Spirotrichea
seq15840	Chlorophyta	Ulvophyceae
seq15843	Ciliophora	Prostomatea
seq15844	NA	Dictyochophyceae
seq15850	Rhodophyta	Bangiophyceae
seq15873	Mollusca	Gastropoda
seq15878	Basidiomycota	Agaricomycetes
seq1588	NA	Dinophyceae
seq15889	Bacillariophyta	Mediophyceae
seq15893	Tubulinea	Elardia
seq15895	Chytridiomycota	Chytridiomycetes
seq15897	Arthropoda	Hexanauplia
seq158976	Cercozoa	Chlorarachniophyceae
seq159	Platyhelminthes	Rhabditophora
seq15908	Ciliophora	Spirotrichea
seq15911	Bacillariophyta	Fragilariophyceae
seq15916	Cercozoa	Imbricatea
seq15922	NA	Dinophyceae
seq1593	NA	Dinophyceae
seq15934	NA	Eustigmatophyceae
seq15939	Chytridiomycota	Chytridiomycetes
seq15943	Ciliophora	Spirotrichea
seq15949	Arthropoda	Hexanauplia
seq15952	Ciliophora	Oligohymenophorea
seq159528	Platyhelminthes	Rhabditophora
seq15965	NA	Ichthyosporea
seq1597	Bacillariophyta	Coscinodiscophyceae
seq15987	NA	Bigyra
seq1599	Cercozoa	Imbricatea
seq15992	Ciliophora	Spirotrichea
seq16	NA	Phaeophyceae
seq160	Platyhelminthes	Rhabditophora
seq1600	Bacillariophyta	Fragilariophyceae
seq16005	Bacillariophyta	Fragilariophyceae
seq16012	Basidiomycota	Agaricomycetes
seq16016	Chytridiomycota	Chytridiomycetes
seq16017	Arthropoda	Ostracoda
seq1602	NA	Dinophyceae
seq16022	NA	Bigyra
seq1604	NA	Bigyra
seq16044	Rhodophyta	Florideophyceae
seq1605	Cnidaria	Hydrozoa
seq16056	Arthropoda	Hexanauplia
seq1606	Platyhelminthes	Rhabditophora
seq16063	Ciliophora	Litostomatea
seq16067	Platyhelminthes	Rhabditophora
seq16068	Chytridiomycota	Chytridiomycetes
seq16069	Nematoda	Enoplea
seq1607	Arthropoda	Hexanauplia
seq16077	Bryozoa	Gymnolaemata
seq16078	Cercozoa	Thecofilosea
seq16081	Annelida	Clitellata
seq16087	Ciliophora	Spirotrichea
seq16096	Ciliophora	Oligohymenophorea
seq16097	Ciliophora	Prostomatea
seq16099	Ciliophora	Litostomatea
seq161	Arthropoda	Hexanauplia
seq1611	NA	Dinophyceae
seq16121	Ciliophora	Litostomatea
seq16135	Mollusca	Gastropoda
seq16147	NA	Bigyra
seq16150	Ciliophora	Spirotrichea
seq16151	NA	Bigyra
seq16155	Ciliophora	Prostomatea
seq16157	Ciliophora	Oligohymenophorea
seq16158	Nematoda	Chromadorea
seq1616	Bacillariophyta	Bacillariophyceae
seq16162	Ciliophora	Spirotrichea
seq16164	NA	Dinophyceae
seq1617	NA	Choanoflagellata
seq16184	Ciliophora	Spirotrichea
seq16195	NA	Centroplasthelida
seq161956	Apicomplexa	Conoidasida
seq162	Echinodermata	Asteroidea
seq16202	Bacillariophyta	Bacillariophyceae
seq16203	Bacillariophyta	Bacillariophyceae
seq16216	Cercozoa	Chlorarachniophyceae
seq16219	Ciliophora	Litostomatea
seq1622	NA	Dinophyceae
seq16221	NA	Choanoflagellata
seq162376	Nematoda	Chromadorea
seq16254	Cercozoa	Chlorarachniophyceae
seq16255	Ciliophora	Litostomatea
seq1626	Ciliophora	Karyorelictea
seq16265	Ciliophora	Litostomatea
seq16272	NA	Eustigmatophyceae
seq1628	Nematoda	Chromadorea
seq16284	Annelida	Polychaeta
seq162867	Endomyxa	Ascetosporea
seq163	Nematoda	Enoplea
seq1630	Streptophyta	Magnoliopsida
seq16301	Ciliophora	Spirotrichea
seq16308	Bacillariophyta	Bacillariophyceae
seq16317	NA	Dinophyceae
seq163191	Nematoda	Chromadorea
seq1632	Ciliophora	Oligohymenophorea
seq16331	Ciliophora	Litostomatea
seq16338	Ciliophora	Spirotrichea
seq1634	Platyhelminthes	Trematoda
seq16342	Ciliophora	Litostomatea
seq16362	Annelida	Polychaeta
seq16365	Ciliophora	Spirotrichea
seq16370	NA	Dinophyceae
seq16374	Ciliophora	Prostomatea
seq1638	NA	Choanoflagellata
seq163835	NA	Dinophyceae
seq16393	NA	Centroplasthelida
seq164	Nematoda	Chromadorea
seq16400	Ciliophora	Colpodea
seq16415	Bacillariophyta	Bacillariophyceae
seq16418	NA	Cryptophyceae
seq16423	Cercozoa	Imbricatea
seq16429	Ciliophora	Prostomatea
seq1643	Ciliophora	Spirotrichea
seq164335	NA	Dinophyceae
seq16436	Ciliophora	Spirotrichea
seq1644	Arthropoda	Hexanauplia
seq16446	NA	Dinophyceae
seq16448	Cnidaria	Hydrozoa
seq1645	Bacillariophyta	Bacillariophyceae
seq16466	Chlorophyta	Pyramimonadophyceae
seq1647	Bacillariophyta	Bacillariophyceae
seq16486	Ciliophora	Spirotrichea
seq16494	Nematoda	Chromadorea
seq165	Rhodophyta	Florideophyceae
seq1650	Streptophyta	Magnoliopsida
seq16505	Bacillariophyta	Mediophyceae
seq1651	NA	Choanoflagellata
seq16511	Annelida	Polychaeta
seq1652	Nematoda	Enoplea
seq16521	Bacillariophyta	Bacillariophyceae
seq16523	Ciliophora	Spirotrichea
seq16532	Ciliophora	Prostomatea
seq165398	Arthropoda	Arachnida
seq1654	NA	Dinophyceae
seq16545	NA	Dinophyceae
seq16559	NA	Choanoflagellata
seq1656	Nematoda	Chromadorea
seq16560	NA	Bigyra
seq1657	Chytridiomycota	Chytridiomycetes
seq16570	Bacillariophyta	Coscinodiscophyceae
seq16573	Ciliophora	Oligohymenophorea
seq16584	Annelida	Polychaeta
seq16589	NA	Bigyra
seq16592	Nematoda	Enoplea
seq16599	NA	Breviatea
seq166	Annelida	Polychaeta
seq16607	Ciliophora	Litostomatea
seq1661	Platyhelminthes	Rhabditophora
seq16610	Bacillariophyta	Bacillariophyceae
seq16616	Arthropoda	Arachnida
seq16618	NA	Bigyra
seq16621	Ciliophora	Oligohymenophorea
seq16622	Ciliophora	Heterotrichea
seq16634	Bacillariophyta	Mediophyceae
seq1664	NA	Cryptophyceae
seq16652	NA	Dinophyceae
seq16654	NA	Dinophyceae
seq1666	Ciliophora	Oligohymenophorea
seq16662	Cercozoa	Thecofilosea
seq166746	Bacillariophyta	Coscinodiscophyceae
seq16679	Ciliophora	Colpodea
seq16693	NA	Ichthyosporea
seq167	Mollusca	Gastropoda
seq1670	Platyhelminthes	Trematoda
seq16701	Ciliophora	Muranotrichea
seq16709	Bacillariophyta	Bacillariophyceae
seq16710	Ascomycota	Sordariomycetes
seq16715	NA	Dictyochophyceae
seq16726	Chlorophyta	Chloropicophyceae
seq16727	Bacillariophyta	Bacillariophyceae
seq1673	NA	Bigyra
seq16731	Bacillariophyta	Bacillariophyceae
seq16734	Ciliophora	Litostomatea
seq16735	Cercozoa	Thecofilosea
seq16736	NA	Cryptophyceae
seq16743	Rhodophyta	Florideophyceae
seq16746	Bacillariophyta	Bacillariophyceae
seq16759	Cercozoa	Thecofilosea
seq16762	Ciliophora	Spirotrichea
seq16780	NA	Bigyra
seq1679	Apicomplexa	Conoidasida
seq16795	Bacillariophyta	Bacillariophyceae
seq1681	Streptophyta	Magnoliopsida
seq16819	NA	Cryptophyceae
seq1682	NA	Dinophyceae
seq16822	Chlorophyta	Trebouxiophyceae
seq16827	Mollusca	Bivalvia
seq1684	Ascomycota	Sordariomycetes
seq16850	Bacillariophyta	Coscinodiscophyceae
seq16855	Bacillariophyta	Fragilariophyceae
seq16860	Basidiomycota	Microbotryomycetes
seq16873	Ciliophora	Odontostomatea
seq16879	NA	Bigyra
seq16888	Cercozoa	Thecofilosea
seq16892	Ciliophora	Spirotrichea
seq169	Annelida	Polychaeta
seq169006	NA	Bigyra
seq16904	Apicomplexa	Conoidasida
seq1691	Ascomycota	Sordariomycetes
seq16913	Ciliophora	Odontostomatea
seq16918	NA	Dinophyceae
seq1692	Mollusca	Gastropoda
seq16927	NA	Cryptophyceae
seq1693	Ciliophora	Oligohymenophorea
seq16947	Ciliophora	Muranotrichea
seq1696	Platyhelminthes	Trematoda
seq169660	Nematoda	Chromadorea
seq16971	Porifera	Demospongiae
seq16974	NA	Dinophyceae
seq16978	Bacillariophyta	Coscinodiscophyceae
seq1698	Mollusca	Bivalvia
seq16986	Chordata	Actinopteri
seq1699	Chytridiomycota	Chytridiomycetes
seq170	Annelida	Polychaeta
seq17005	NA	Choanoflagellata
seq1701	Ciliophora	Oligohymenophorea
seq17014	NA	Bigyra
seq17016	Annelida	Polychaeta
seq17018	NA	Bigyra
seq17019	Basidiomycota	Microbotryomycetes
seq17031	Arthropoda	Arachnida
seq1704	Platyhelminthes	Rhabditophora
seq17040	Chlorophyta	Pyramimonadophyceae
seq17042	Ciliophora	Spirotrichea
seq17044	Cnidaria	Hydrozoa
seq17045	NA	Dinophyceae
seq1705	Mollusca	Gastropoda
seq17055	NA	Breviatea
seq1706	Platyhelminthes	Rhabditophora
seq17066	NA	Dinophyceae
seq17068	Annelida	Polychaeta
seq1708	Bacillariophyta	Bacillariophyceae
seq17092	Apicomplexa	Conoidasida
seq17094	Bacillariophyta	Bacillariophyceae
seq17099	Ciliophora	Spirotrichea
seq171	Bacillariophyta	Coscinodiscophyceae
seq17100	Chlorophyta	Chloropicophyceae
seq17109	Nematoda	Chromadorea
seq1713	Nematoda	Chromadorea
seq17136	Cercozoa	Thecofilosea
seq17138	Ciliophora	Litostomatea
seq1714	NA	Dinophyceae
seq17147	Ciliophora	Prostomatea
seq17174	Ciliophora	Litostomatea
seq1718	NA	Bigyra
seq17183	Platyhelminthes	Rhabditophora
seq17195	Bacillariophyta	Bacillariophyceae
seq172	Bacillariophyta	Coscinodiscophyceae
seq17203	NA	Dinophyceae
seq17210	Bacillariophyta	Mediophyceae
seq17224	Cercozoa	Thecofilosea
seq1723	Cercozoa	Chlorarachniophyceae
seq17238	NA	Bigyra
seq17239	NA	Dinophyceae
seq1725	Ciliophora	Oligohymenophorea
seq17250	Chordata	Actinopteri
seq17262	Bacillariophyta	Bacillariophyceae
seq17273	Bacillariophyta	Coscinodiscophyceae
seq17277	NA	Bigyra
seq17278	Bacillariophyta	Bacillariophyceae
seq1728	Cercozoa	Chlorarachniophyceae
seq17282	Ciliophora	Litostomatea
seq17285	Ciliophora	Litostomatea
seq1729	NA	Ichthyosporea
seq173	Chlorophyta	Mamiellophyceae
seq1730	Nematoda	Enoplea
seq1731	Platyhelminthes	Rhabditophora
seq17312	Apicomplexa	Conoidasida
seq17314	NA	Dinophyceae
seq17323	NA	Bigyra
seq17325	Echinodermata	Asteroidea
seq17331	Annelida	Polychaeta
seq1734	NA	Raphidophyceae
seq17353	Ciliophora	Nassophorea
seq17355	Ciliophora	Spirotrichea
seq1736	Ciliophora	Oligohymenophorea
seq17364	Bacillariophyta	Coscinodiscophyceae
seq17367	NA	Acantharea
seq17374	NA	Cryptophyceae
seq17375	NA	Cryptophyceae
seq17378	NA	Dinophyceae
seq17380	NA	Bigyra
seq17387	NA	Dinophyceae
seq17395	Bacillariophyta	Bacillariophyceae
seq17397	Porifera	Demospongiae
seq174	Mollusca	Gastropoda
seq1740	NA	Dinophyceae
seq17419	Ciliophora	Oligohymenophorea
seq1742	Nematoda	Chromadorea
seq17420	Ciliophora	Spirotrichea
seq17426	Ciliophora	Spirotrichea
seq17441	Ascomycota	Sordariomycetes
seq17444	NA	Dinophyceae
seq1745	Bacillariophyta	Fragilariophyceae
seq17464	Nematoda	Enoplea
seq17470	Ciliophora	Spirotrichea
seq17474	NA	Bigyra
seq17478	NA	Dinophyceae
seq1748	NA	Bigyra
seq17486	Ciliophora	Litostomatea
seq175	Cercozoa	Thecofilosea
seq17500	NA	Bigyra
seq17501	Bacillariophyta	Mediophyceae
seq17503	NA	Cryptophyceae
seq17504	NA	Ichthyosporea
seq17512	Bacillariophyta	Coscinodiscophyceae
seq17515	Ciliophora	Spirotrichea
seq17516	Ciliophora	Spirotrichea
seq17529	Bacillariophyta	Bacillariophyceae
seq1753	Ascomycota	Saccharomycetes
seq1754	Apicomplexa	Conoidasida
seq17541	Mollusca	Bivalvia
seq17543	NA	Acantharea
seq17562	Ciliophora	Litostomatea
seq17568	Annelida	Polychaeta
seq17574	Annelida	Polychaeta
seq17583	Cercozoa	Imbricatea
seq17585	Nematoda	Chromadorea
seq17589	Ascomycota	Sordariomycetes
seq17591	NA	Dinophyceae
seq176	Chlorophyta	Mamiellophyceae
seq17601	Ciliophora	Litostomatea
seq1761	NA	Dinophyceae
seq17614	Rhodophyta	Florideophyceae
seq17618	Ciliophora	Nassophorea
seq1762	NA	Ichthyosporea
seq17640	Nematoda	Chromadorea
seq17642	Ciliophora	Spirotrichea
seq17658	NA	Dinophyceae
seq1767	NA	Dinophyceae
seq17677	Ciliophora	Plagiopylea
seq1768	Ciliophora	Litostomatea
seq17680	Ciliophora	Spirotrichea
seq17681	Ciliophora	Litostomatea
seq17687	Ciliophora	Spirotrichea
seq1770	Arthropoda	Ostracoda
seq17702	Ciliophora	Spirotrichea
seq17703	NA	Bigyra
seq17707	Nematoda	Chromadorea
seq1771	Platyhelminthes	Trematoda
seq17710	Ciliophora	Plagiopylea
seq17714	Ciliophora	Karyorelictea
seq17715	Echinodermata	Asteroidea
seq17716	NA	Centroplasthelida
seq17717	NA	Cryptophyceae
seq1773	Mollusca	Bivalvia
seq17737	Bryozoa	Gymnolaemata
seq17743	Ciliophora	Litostomatea
seq17745	Ascomycota	Leotiomycetes
seq17748	Ciliophora	Heterotrichea
seq17752	Ciliophora	Spirotrichea
seq17756	NA	Dinophyceae
seq17765	Platyhelminthes	Rhabditophora
seq17769	NA	Dinophyceae
seq1777	Ciliophora	Spirotrichea
seq177729	Echinodermata	Holothuroidea
seq17775	Cercozoa	Imbricatea
seq17787	Nematoda	Chromadorea
seq178	Nematoda	Enoplea
seq1780	Nematoda	Chromadorea
seq17805	Ascomycota	Leotiomycetes
seq17808	Ciliophora	Litostomatea
seq1781	Nematoda	Chromadorea
seq1783	NA	Raphidophyceae
seq17835	NA	Dinophyceae
seq1785	NA	Dinophyceae
seq17852	NA	Dinophyceae
seq17857	Apicomplexa	Conoidasida
seq1786	Cercozoa	Chlorarachniophyceae
seq17862	Apicomplexa	Conoidasida
seq17868	NA	Dinophyceae
seq1787	Mollusca	Bivalvia
seq17874	Ciliophora	Spirotrichea
seq17878	Ciliophora	Colpodea
seq17881	Ciliophora	Spirotrichea
seq17893	Ciliophora	Karyorelictea
seq17895	NA	Dinophyceae
seq179	Cnidaria	Scyphozoa
seq17901	NA	Dinophyceae
seq17908	Ascomycota	Sordariomycetes
seq17919	Ciliophora	Armophorea
seq17926	NA	Bigyra
seq17928	NA	Dinophyceae
seq1793	NA	Chrysophyceae
seq17941	NA	Bigyra
seq1795	Arthropoda	Ostracoda
seq17950	Chlorophyta	Chloropicophyceae
seq17957	NA	Bigyra
seq17958	NA	Dinophyceae
seq1796	NA	Bigyra
seq17964	NA	Dinophyceae
seq17977	Ciliophora	Oligohymenophorea
seq1798	NA	Bigyra
seq17981	Endomyxa	Ascetosporea
seq1799	Cercozoa	Chlorarachniophyceae
seq17991	Cercozoa	Imbricatea
seq18	Arthropoda	Hexanauplia
seq180	Bacillariophyta	Mediophyceae
seq1801	NA	Dinophyceae
seq18010	Ciliophora	Spirotrichea
seq1803	NA	Dinophyceae
seq18044	NA	Bigyra
seq18051	Ciliophora	Litostomatea
seq18053	Bacillariophyta	Coscinodiscophyceae
seq18055	NA	Centroplasthelida
seq1806	Ciliophora	Spirotrichea
seq18061	Streptophyta	Magnoliopsida
seq18064	Ciliophora	Litostomatea
seq18080	Ciliophora	Spirotrichea
seq18084	Basidiomycota	Agaricomycetes
seq18086	Ciliophora	Oligohymenophorea
seq181	NA	Cryptophyceae
seq1810	NA	Dinophyceae
seq18121	Arthropoda	Hexanauplia
seq18131	NA	Cryptophyceae
seq18136	Platyhelminthes	Rhabditophora
seq1814	Ciliophora	Heterotrichea
seq18144	Chlorophyta	Ulvophyceae
seq18153	Arthropoda	Arachnida
seq1818	NA	Chrysophyceae
seq18183	Mollusca	Bivalvia
seq18184	Ciliophora	Oligohymenophorea
seq18191	Ciliophora	Litostomatea
seq18196	Annelida	Clitellata
seq18197	NA	Bigyra
seq182	Annelida	Polychaeta
seq18212	Nematoda	Chromadorea
seq18227	Ciliophora	Parablepharismea
seq18235	Nematoda	Chromadorea
seq18237	Ciliophora	Karyorelictea
seq1824	Ciliophora	Litostomatea
seq18243	NA	Cryptophyceae
seq18245	Bacillariophyta	Bacillariophyceae
seq1825	Basidiomycota	Tremellomycetes
seq18253	NA	Bigyra
seq1826	Ciliophora	Heterotrichea
seq18260	Ciliophora	Litostomatea
seq18279	Bacillariophyta	Bacillariophyceae
seq18280	NA	Ichthyosporea
seq182855	Platyhelminthes	Cestoda
seq18288	Ciliophora	Litostomatea
seq18296	Cercozoa	Thecofilosea
seq18297	Streptophyta	Magnoliopsida
seq183	Platyhelminthes	Rhabditophora
seq1830	Cercozoa	Imbricatea
seq18308	Bryozoa	Gymnolaemata
seq18311	Annelida	Polychaeta
seq18312	Ciliophora	Litostomatea
seq18313	NA	Dinophyceae
seq18324	NA	Bigyra
seq18334	Nematoda	Chromadorea
seq18351	Ciliophora	Spirotrichea
seq18356	Ciliophora	Colpodea
seq18358	Ciliophora	Spirotrichea
seq18365	Ciliophora	Spirotrichea
seq1838	NA	Dinophyceae
seq18381	Basidiomycota	Cystobasidiomycetes
seq18383	NA	Bigyra
seq18384	Chlorophyta	Ulvophyceae
seq18399	Ciliophora	Litostomatea
seq184	Cercozoa	Thecofilosea
seq18400	Ciliophora	Litostomatea
seq18404	Cercozoa	Imbricatea
seq18416	Ciliophora	Litostomatea
seq18418	Chlorophyta	Ulvophyceae
seq1842	Cercozoa	Thecofilosea
seq18440	NA	Dinophyceae
seq1845	Platyhelminthes	Rhabditophora
seq18452	NA	Dinophyceae
seq18458	Ciliophora	Litostomatea
seq18464	NA	Dinophyceae
seq184687	Chytridiomycota	Chytridiomycetes
seq18476	Cercozoa	Thecofilosea
seq18479	NA	Cryptophyceae
seq18481	Ciliophora	Spirotrichea
seq18495	Arthropoda	Hexanauplia
seq185	Bacillariophyta	Mediophyceae
seq18501	NA	Dinophyceae
seq18507	Ciliophora	Oligohymenophorea
seq1851	Nematoda	Chromadorea
seq1852	Platyhelminthes	Rhabditophora
seq18522	Ciliophora	Spirotrichea
seq18526	Ciliophora	Oligohymenophorea
seq18535	Arthropoda	Hexanauplia
seq1854	Platyhelminthes	Rhabditophora
seq18545	Ciliophora	Oligohymenophorea
seq18547	Ciliophora	Oligohymenophorea
seq18552	NA	Choanoflagellata
seq18553	NA	Dinophyceae
seq18557	Annelida	Polychaeta
seq18568	Platyhelminthes	Trematoda
seq1857	NA	Dinophyceae
seq18572	NA	Centroplasthelida
seq18574	Ciliophora	Spirotrichea
seq1858	Bacillariophyta	Coscinodiscophyceae
seq18582	Nematoda	Chromadorea
seq186	NA	Cryptophyceae
seq18613	Bacillariophyta	Bacillariophyceae
seq18618	NA	Dinophyceae
seq1862	Ascomycota	Saccharomycetes
seq18622	Arthropoda	Ostracoda
seq18627	NA	Dinophyceae
seq18632	Ciliophora	Plagiopylea
seq18634	NA	Bigyra
seq18635	NA	Ichthyosporea
seq18639	NA	Bigyra
seq18643	Ciliophora	Muranotrichea
seq18644	NA	Cryptophyceae
seq1865	Basidiomycota	Microbotryomycetes
seq18667	Arthropoda	Hexanauplia
seq1868	Mollusca	Bivalvia
seq18690	Cercozoa	Imbricatea
seq187	NA	Ichthyosporea
seq18706	Ciliophora	Litostomatea
seq18709	Cercozoa	Imbricatea
seq18712	Ciliophora	Oligohymenophorea
seq18719	Bacillariophyta	Coscinodiscophyceae
seq18730	NA	Breviatea
seq18737	NA	Choanoflagellata
seq1874	Nematoda	Chromadorea
seq18741	Ciliophora	Litostomatea
seq1875	Ciliophora	Oligohymenophorea
seq18767	Arthropoda	Hexanauplia
seq1877	Basidiomycota	Microbotryomycetes
seq18770	Rhodophyta	Florideophyceae
seq18771	Arthropoda	Hexanauplia
seq18780	Ciliophora	Spirotrichea
seq18789	Bacillariophyta	Coscinodiscophyceae
seq1879	NA	Cryptophyceae
seq188	Ciliophora	Spirotrichea
seq18802	NA	Dinophyceae
seq18804	NA	Dinophyceae
seq18815	NA	Breviatea
seq18818	NA	Dinophyceae
seq18819	Annelida	Polychaeta
seq18829	Ciliophora	Spirotrichea
seq18832	Bacillariophyta	Bacillariophyceae
seq18834	NA	Centroplasthelida
seq18836	Bacillariophyta	Bacillariophyceae
seq18837	Ciliophora	Oligohymenophorea
seq18843	Platyhelminthes	Rhabditophora
seq18847	NA	Centroplasthelida
seq18848	Ciliophora	Spirotrichea
seq1885	Cercozoa	Imbricatea
seq18857	Ciliophora	Litostomatea
seq1886	Ciliophora	Oligohymenophorea
seq18878	NA	Raphidophyceae
seq18880	NA	Chrysophyceae
seq18882	NA	Choanoflagellata
seq18886	Ciliophora	Spirotrichea
seq18888	Nematoda	Chromadorea
seq18896	Bacillariophyta	Bacillariophyceae
seq18899	Ciliophora	Litostomatea
seq189	Cnidaria	Scyphozoa
seq18907	NA	Bigyra
seq1891	NA	Dinophyceae
seq18910	Chlorophyta	Chloropicophyceae
seq1892	NA	Cryptophyceae
seq18925	Nematoda	Enoplea
seq189273	Platyhelminthes	Rhabditophora
seq18932	NA	Bigyra
seq18943	Platyhelminthes	Rhabditophora
seq18950	Ciliophora	Karyorelictea
seq18958	NA	Bigyra
seq1896	Basidiomycota	Tremellomycetes
seq18963	Ciliophora	Litostomatea
seq18967	Annelida	Polychaeta
seq18974	NA	Dictyochophyceae
seq18981	Basidiomycota	Agaricomycetes
seq18983	NA	Cryptophyceae
seq18999	NA	Choanoflagellata
seq19	Arthropoda	Hexanauplia
seq190	Chlorophyta	Mamiellophyceae
seq1900	NA	Dinophyceae
seq19000	Arthropoda	Ostracoda
seq19025	Ciliophora	Plagiopylea
seq19027	Ciliophora	Litostomatea
seq19029	NA	Choanoflagellata
seq1903	Cercozoa	Thecofilosea
seq19034	Annelida	Polychaeta
seq19044	Ciliophora	Litostomatea
seq19052	NA	Cryptophyceae
seq1906	Ciliophora	Oligohymenophorea
seq19061	Ascomycota	Dothideomycetes
seq19065	Ciliophora	Oligohymenophorea
seq19068	Platyhelminthes	Rhabditophora
seq19074	Ciliophora	Karyorelictea
seq1908	Platyhelminthes	Rhabditophora
seq19085	Cercozoa	Imbricatea
seq19097	Bacillariophyta	Bacillariophyceae
seq191	Cnidaria	Hydrozoa
seq1910	Annelida	Polychaeta
seq19102	NA	Cryptophyceae
seq19109	NA	Centroplasthelida
seq19122	Annelida	Polychaeta
seq19124	Cercozoa	Thecofilosea
seq19127	Ciliophora	Prostomatea
seq1913	Arthropoda	Hexanauplia
seq1914	Platyhelminthes	Rhabditophora
seq19141	Annelida	Polychaeta
seq19143	Ciliophora	Spirotrichea
seq19152	Ciliophora	Oligohymenophorea
seq19155	NA	Raphidophyceae
seq19158	Platyhelminthes	Rhabditophora
seq19166	NA	Phaeosacciophyceae
seq19169	Ciliophora	Litostomatea
seq19170	Platyhelminthes	Trematoda
seq191782	Evosea	Variosea
seq191788	NA	Bigyra
seq191790	Nematoda	Chromadorea
seq19187	Cercozoa	Thecofilosea
seq19199	Apicomplexa	Conoidasida
seq192	NA	Ichthyosporea
seq19202	Rhodophyta	Florideophyceae
seq19203	Rhodophyta	Florideophyceae
seq19204	Ciliophora	Litostomatea
seq1921	NA	Dinophyceae
seq1922	Arthropoda	Malacostraca
seq19221	NA	Dictyochophyceae
seq19224	NA	Dinophyceae
seq1924	Bacillariophyta	Mediophyceae
seq19243	Arthropoda	Ostracoda
seq19244	Ciliophora	Armophorea
seq19251	Cercozoa	Imbricatea
seq19258	Ciliophora	Oligohymenophorea
seq19259	Ciliophora	Oligohymenophorea
seq19272	Ciliophora	Spirotrichea
seq1928	Ciliophora	Oligohymenophorea
seq193	Streptophyta	Magnoliopsida
seq19304	NA	Dinophyceae
seq19309	Mollusca	Bivalvia
seq1931	Platyhelminthes	Trematoda
seq19310	NA	Dinophyceae
seq19321	NA	Dictyochophyceae
seq19324	Ciliophora	Litostomatea
seq19337	Ciliophora	Karyorelictea
seq19354	Ciliophora	Karyorelictea
seq1937	Platyhelminthes	Rhabditophora
seq19377	Ciliophora	Litostomatea
seq19380	Ciliophora	Litostomatea
seq19386	Ascomycota	Sordariomycetes
seq19387	NA	Cryptophyceae
seq1939	NA	Dinophyceae
seq19395	Ciliophora	Spirotrichea
seq19397	Ciliophora	Litostomatea
seq194	Platyhelminthes	Rhabditophora
seq19402	NA	Dinophyceae
seq194031	NA	Bigyra
seq19406	Ascomycota	Dothideomycetes
seq19408	NA	Choanoflagellata
seq19421	NA	Bigyra
seq19426	Bacillariophyta	Bacillariophyceae
seq1943	NA	Centroplasthelida
seq19439	Ciliophora	Armophorea
seq1945	Ciliophora	Spirotrichea
seq19453	NA	Dinophyceae
seq19455	NA	Dinophyceae
seq19463	Nematoda	Chromadorea
seq19464	NA	Dinophyceae
seq19468	NA	Dinophyceae
seq1947	Bacillariophyta	Coscinodiscophyceae
seq19473	Ciliophora	Karyorelictea
seq19475	Ciliophora	Spirotrichea
seq1949	Arthropoda	Malacostraca
seq195	Nematoda	Chromadorea
seq19509	NA	Bigyra
seq19514	Cercozoa	Thecofilosea
seq19518	NA	Dinophyceae
seq1952	Ciliophora	Oligohymenophorea
seq19522	Bacillariophyta	Coscinodiscophyceae
seq19523	NA	Dinophyceae
seq19525	NA	Chrysophyceae
seq19530	Bacillariophyta	Bacillariophyceae
seq19535	Ciliophora	Plagiopylea
seq19538	Ciliophora	Litostomatea
seq19548	NA	Bigyra
seq19549	Ciliophora	Spirotrichea
seq1955	Ciliophora	Heterotrichea
seq19560	Ciliophora	Muranotrichea
seq19561	Cercozoa	Thecofilosea
seq19565	NA	Centroplasthelida
seq19567	Ciliophora	Spirotrichea
seq19576	Ascomycota	Sordariomycetes
seq19586	Cercozoa	Imbricatea
seq1959	Platyhelminthes	Rhabditophora
seq19592	Cercozoa	Thecofilosea
seq19593	Ciliophora	Litostomatea
seq19597	Ciliophora	Litostomatea
seq196	Cnidaria	Hydrozoa
seq1960	Arthropoda	Ostracoda
seq19601	Nematoda	Chromadorea
seq19607	Ciliophora	Odontostomatea
seq19615	NA	Bigyra
seq1963	Platyhelminthes	Rhabditophora
seq19636	Ciliophora	Litostomatea
seq19641	Ciliophora	Litostomatea
seq19643	Nematoda	Chromadorea
seq19648	Ciliophora	Spirotrichea
seq1965	NA	Dinophyceae
seq19656	NA	Chrysophyceae
seq19659	Ciliophora	Spirotrichea
seq19660	Cercozoa	Thecofilosea
seq19665	Ciliophora	Litostomatea
seq1967	Chlorophyta	Pyramimonadophyceae
seq19678	Cercozoa	Imbricatea
seq19681	Ciliophora	Spirotrichea
seq19682	NA	Dinophyceae
seq1969	Bacillariophyta	Bacillariophyceae
seq19696	Ciliophora	Armophorea
seq196973	NA	Dinophyceae
seq197	Chlorophyta	Mamiellophyceae
seq19700	Nematoda	Chromadorea
seq1971	Ascomycota	Sordariomycetes
seq19717	Nematoda	Enoplea
seq19718	Ciliophora	Litostomatea
seq19719	Ciliophora	Litostomatea
seq1974	Nematoda	Chromadorea
seq1975	Rhodophyta	Compsopogonophyceae
seq19753	Annelida	Clitellata
seq19757	Ciliophora	Spirotrichea
seq19762	Ciliophora	Litostomatea
seq19764	NA	Dinophyceae
