Sample_ID	Grain_size	Density_wet	Dry_matter_per_WW	Watercontent	Organic_content	Inorganic_content	TP
C28SB2	1	1.820325	0.812949611	0.3404925	0.006077796	0.003052404	0.741618045
C28SB3	1	1.793507692	0.801259243	0.356443077	0.006052093	0.003204661	0.703179711
C28RB1	2	1.84048	0.827458054	0.31756	0.00321806	0.002390236	0.19375369
C28RB2	2	1.8176	0.819850352	0.32744	0.003773514	0.002412636	0.213588707
C28RB3	2	1.87522	0.828425465	0.32174	0.003669839	0.002479621	0.220278428
C28EB1	2	1.855783333	0.820534006	0.33305	0.003496929	0.020092142	0.21648455
C28EB2	2	1.879381818	0.830297196	0.318936364	0.004166388	0.001615061	0.213046617
C28EB3	2	1.871627273	0.826592319	0.324554545	0.00329375	0.00215	0.1850426
C29SB1	2	1.837227273	0.807946758	0.352845455	0.005592793	0.002318288	0.781235279
C29SB2	2	1.83445	0.795480934	0.37518	0.005719139	0.002328293	0.673048201
C29SB3	2	1.848690909	0.803271111	0.363690909	0.006024275	0.002155121	0.735548184
C29RB1	1	1.832169231	0.775566584	0.4112	0.011623334	0.017733596	0.477785943
C29RB2	1	1.8065	0.791258064	0.377092308	0.013519623	0.011783398	0.48494697
C29RB3	1	2.08589	0.788795191	0.44055	0.028591772	0.035096024	0.561531532
C29EB1	2	1.848	0.799311295	0.370872727	0.035628871	0.023369752	2.015022442
C29EB2	2	1.9619	0.824914624	0.3435	0.026114203	0.021030715	5.280825682
C29EB3	2	1.950414286	0.820144438	0.350792857	0.025633879	0.021515116	0.690238092
C30SB1	2	1.806925	0.7875765	0.383833333	0.003744134	0.001986887	0.83868645
C30SB2	2	1.882221429	0.780908577	0.412378571	0.003716571	0.002023915	1.067987963
C30SB3	2	1.839683333	0.767111188	0.428441667	0.010003293	0.005969043	0.59896508
C30RB1	1	1.860554545	0.72757389	0.506863636	0.021754147	0.014564382	0.721974609
C30RB2	1	1.95859	0.730571483	0.5277	0.01204271	0.003071941	0.72310401
C30RB3	1	1.80422	0.745247254	0.45963	0.010611422	0.003209348	0.60791455
C30EB1	2	1.8505	0.775353508	0.415708333	0.003163899	0.001818487	0.412536339
C30EB2	2	1.779176923	0.777239259	0.396330769	0.005417229	0.001927441	0.427046021
C30EB3	2	1.810338462	0.777317459	0.403130769	0.004418847	0.001448868	0.401893365
C31SB1	2	1.81587	0.819006867	0.32866	0.004050708	0.001970882	0.30602805
C31SB2	2	1.917609091	0.819088164	0.346918182	0.00358041	0.001750912	0.338214045
C31SB3	2	1.576483333	0.819825773	0.284041667	0.003428599	0.001666347	0.335673038
C31RB1	3	1.99455	0.864601873	0.270058333	0.010027057	0.056362406	0.644718565
C31RB2	3	2.0395	0.857755169	0.290108333	0.009846596	0.050526501	0.75262941
C31RB3	3	1.584453333	0.893544777	0.168673333	0.010113312	0.06815112	2.115129802
C31EB1	2	1.9012	0.794568343	0.390566667	0.005921751	0.00204473	0.53094115
C31EB2	2	1.684727273	0.796654436	0.342581818	0.00705649	0.002111241	0.7289242
C31EB3	2	1.833175	0.785417832	0.393366667	0.006944608	0.001927531	0.62111028
C32SB1	3	1.904946154	0.812322577	0.357515385	0.001850826	0.00067605	0.286434056
C32SB2	3	1.917392308	0.80638367	0.371238462	0.001913246	0.000642912	0.256970424
C32SB3	3	1.896133333	0.804422157	0.370841667	0.001710851	0.000639642	0.285154597
C32RB1	3	1.9545875	0.845370187	0.3022375	0.010371791	0.009822939	0.917865457
C32RB2	3	2.04648	0.864034831	0.27825	0.009566644	0.008692578	0.917736663
C32RB3	3	1.961728571	0.828897255	0.335657143	0.008882269	0.004998345	0.863692629
C33SB1	2	1.804714286	0.793845484	0.37205	0.004083278	0.000881159	1.045531591
C33SB2	2	1.755053846	0.78503399	0.377276923	0.004116336	0.000872245	1.076049358
C33SB3	2	1.813116667	0.793440393	0.374516667	0.004052189	0.000885147	1.180266053
C33RB1	2	1.955909091	0.822035789	0.348081818	0.00643059	0.004305896	0.866484255
C33RB2	2	1.957961538	0.826990394	0.338746154	0.00615433	0.004178025	0.787114823
C33RB3	2	1.920318182	0.812067129	0.360890909	0.006353773	0.00286591	1.110625532
