Sample_ID	d18O	SD_d18O	d12H	SD_d12H
C28EW	-3.526780137	0.080548122	-25.84771721	0.118616047
C29SW	-3.730529818	0.093784149	-28.14593688	0.205598395
C29RW	-3.837874027	0.035535897	-28.69817604	0.100724211
C29EW	-3.824975086	0.022636254	-28.82481615	0.052426774
C4RW	-0.03357583	0.118931353	1.048497296	0.222190909
C30SW	-4.651168802	0.033755987	-34.46596626	0.050384191
C30RW	-4.838038078	0.038600518	-34.9012083	0.052435675
C30EW	-4.803640901	0.126414662	-34.47296479	0.118530024
C31SW	-5.263041651	0.033850652	-39.00951325	0.042921634
C31RW	-4.982690175	0.04143871	-37.85470139	0.078609054
C31EW	-5.230562778	0.011081516	-38.66575202	0.053682089
C32SW	-5.88364609	0.016452963	-44.92410601	0.107853141
C32RW	-5.651828966	0.057045304	-43.70469511	0.167202173
C33SW	-6.056496823	0.022509998	-45.69113354	0.133500062
C33RW	-5.648920333	0.049207892	-43.69180346	0.168331122
C5SW	0.191558243	0.076177206	1.353274844	0.156469379
2C1SW	-0.34478987	0.033301151	-1.460123048	0.137424403
2C1RW	-0.843357483	0.009396808	-4.319949858	0.058493589
2C3SW	-0.142023612	0.037792856	0.360009092	0.252938464
2C3RW	-0.051864866	0.102959701	0.731899878	0.261120406
2C4SW	0.077405649	0.038504112	2.27527996	0.113090082
2C4RW	0.128320379	0.146190857	2.26428319	0.304041719
2C5SW	0.026590104	0.025812788	2.171976964	0.172818305
2C5RW	0.147595241	0.055034535	2.362754271	0.234813685
2C6SW	-1.947638941	0.076662898	-12.65957288	0.180789011
2C6RW	-1.545341465	0.028686815	-11.32623997	0.18044713
C5RW	0.088955077	0.125139389	1.464571886	0.192233625
2C7SW	-1.724088818	0.050679384	-11.64927726	0.193797231
2C7RW	-1.501947433	0.005549024	-10.54732237	0.080849758
2C8EW	-1.269868085	0.028428272	-8.462240108	0.029986664
2C8RW	-1.216779071	0.030492622	-8.603343783	0.093112119
2C8SW	-1.244532404	0.071169282	-8.350226527	0.176831747
2C9SW	-1.03141462	0.026977151	-7.301311295	0.089034076
2C9RW	-1.253805595	0.059355427	-8.042272772	0.154642383
2C9EW	-1.23625277	0.009246621	-7.714424068	0.06647932
2C10SW	-0.584053085	0.028624582	-3.271547907	0.018069311
2C10RW	-0.584218558	0.007348469	-3.221498914	0.06969218
