"Eelgrass"	"Rocks"	"Sand"
"92"	"Pandeidae"	"Naididae"	"Paraonidae"
"93"	"Panopeidae"	"Nassariidae"	"Parechinidae"
"94"	"Paracalanidae"	"Naviculaceae"	"Petricolidae"
"95"	"Paraonidae"	"Nemaliaceae"	"Philinidae"
"96"	"Parechinidae"	"Nephtyidae"	"Phyllodocidae"
"97"	"Peronosporaceae"	"Nereididae"	"Podonidae"
"98"	"Phyllodocidae"	"Noelaerhabdaceae"	"Pontoporeiidae"
"99"	"Phyllophoraceae"	"Obeliidae"	"Pycnococcaceae"
"100"	"Podonidae"	"Oithonidae"	"Ralfsiaceae"
"101"	"Prasinodermaceae"	"Olindiidae"	"Rathkeidae"
"102"	"Promesostomidae"	"Ophiocordycipitaceae"	"Rhizotrichidae"
"103"	"Pycnococcaceae"	"Orbiniidae"	"Rhodomelaceae"
"104"	"Ralfsiaceae"	"Panagrolaimidae"	"Rissoidae"
"105"	"Rathkeidae"	"Paracalanidae"	"Sargassaceae"
"106"	"Rhizotrichidae"	"Paramoebidae"	"Scytosiphonaceae"
"107"	"Rhodomelaceae"	"Paraonidae"	"Skeletonemataceae"
"108"	"Rhodophysemataceae"	"Parechinidae"	"Sphacelariaceae"
"109"	"Rissoidae"	"Peronosporaceae"	"Spionidae"
"110"	"Sargassaceae"	"Petricolidae"	"Sporidiobolaceae"
"111"	"Scrobiculariidae"	"Phyllodocidae"	"Syngnathidae"
"112"	"Scytosiphonaceae"	"Plakobranchidae"	"Tachidiidae"
"113"	"Semelidae"	"Pleuronectidae"	"Tellinidae"
"114"	"Sertulariidae"	"Podonidae"	"Temoridae"
"115"	"Sididae"	"Polyidaceae"	"Terebellidae"
"116"	"Skeletonemataceae"	"Pontoporeiidae"	"Thalassiosiraceae"
"117"	"Sphacelariaceae"	"Prasinodermaceae"	"Ulmaridae"
"118"	"Sphaeromatidae"	"Pycnococcaceae"	"Veneridae"
"119"	"Spionidae"	"Ralfsiaceae"	"Xyalidae"
"120"	"Sporidiobolaceae"	"Rhizotrichidae"	NA
"121"	"Styelidae"	"Rhodomelaceae"	NA
"122"	"Tachidiidae"	"Rissoidae"	NA
"123"	"Tellinidae"	"Sargassaceae"	NA
"124"	"Temoridae"	"Scrobiculariidae"	NA
"125"	"Terebellidae"	"Scytosiphonaceae"	NA
"126"	"Thalassiosiraceae"	"Semelidae"	NA
"127"	"Ulmaridae"	"Sertulariidae"	NA
"128"	"Varunidae"	"Sididae"	NA
"129"	"Xyalidae"	"Skeletonemataceae"	NA
"130"	"Zosteraceae"	"Sphacelariaceae"	NA
"131"	NA	"Spionidae"	NA
"132"	NA	"Sporidiobolaceae"	NA
"133"	NA	"Tachidiidae"	NA
"134"	NA	"Tellinidae"	NA
"135"	NA	"Temoridae"	NA
"136"	NA	"Terebellidae"	NA
"137"	NA	"Thalassiosiraceae"	NA
"138"	NA	"Tonicellidae"	NA
"139"	NA	"Ulmaridae"	NA
"140"	NA	"Veneridae"	NA
"141"	NA	"Vesiculariidae"	NA
"142"	NA	"Xenocratenidae"	NA
"143"	NA	"Xyalidae"	NA
