"","sediment_33","sediment_32","sediment_23","sediment_24","sediment_25","sediment_26","sediment_27","sediment_21","sediment_20","sediment_31","sediment_28","sediment_19","sediment_29","sediment_16","sediment_30","sediment_13","sediment_18","sediment_15","sediment_14","sediment_17","sediment_12","sediment_11","sediment_7","sediment_6","sediment_8","sediment_5","sediment_9","sediment_10","sediment_4","sediment_3","sediment_1"
"sediment_33",0,0.295952743550695,0.0567021680691919,0.25035765379113,0.00766283524904225,0.555555555555556,0.169634489222118,0,0.0794899417986194,0.150916380297824,0.16421733032502,0.410967994089138,0,0.0250896057347672,0.176664322630149,0.364797544246933,0.324719300581369,0.163719838894432,0.278881465421884,0.295952743550695,0.395400126023944,0.290800252047889,0.154719235364397,0.273142598364368,0.333333333333333,0.0120274914089347,0.0501792114695344,0.209161099066413,0.13490364025696,0.13490364025696,0
"sediment_32",0.295952743550695,0,0.4462513398891,0.393991053431112,0.357537008424135,0.410295411642083,0.286614490342516,0.26539937076827,0.341903782944863,0.262358057543656,0.359237255632124,0.379495990836197,0.155696267059007,0.523098902824249,0.102215834358691,0.445227107228069,0.527752109331642,0.464482899660991,0.540039948615746,0.435216108017207,0.185245345245721,0.512027491408935,0.362934362934363,0.442998221594013,0.575862068965517,0,0.460689655172414,0.29248137978738,NA,NA,0.263157894736842
"sediment_23",0.0567021680691919,0.4462513398891,0,0.340962128804499,0.0602283477420337,0.390159611157199,0.205680926858942,0.181419326872819,0.208485323962578,0.365021653210273,0.26440653838583,0.369330441488263,0.28171057807758,0.361110145681487,0.25422095379713,0.367290991294633,0.216060039066729,0.346717869857531,0.366061445705001,0.446553982349323,0.168809521825711,0.150018239299611,0.277777777777778,0.294292630490705,0.428571428571429,0.00801832760595649,0.307219662058372,0.292732184248785,0.0674518201284799,0.13490364025696,0.21505376344086
"sediment_24",0.25035765379113,0.393991053431112,0.340962128804499,0,0.230252955596835,0.21672938524757,0.1941055683853,0.189399931784676,0.160265859810614,0.497541092615781,0.403569779966149,0.333840774096701,0.094461916877732,0.291676753725647,0.191881774540654,0.389555555555556,0.324244751664107,0.418532825661751,0.528350515463918,0.282873068516455,0.457546675063737,0.219848132136127,0.0704079057215522,0.332503795814244,0.644474961170559,NA,0.275272460855672,0.733404980827661,NA,0.857484314311323,0.573020629807607
"sediment_25",0.00766283524904225,0.357537008424135,0.0602283477420337,0.230252955596835,0,0.223993063072132,0.0934691502518425,0.160923586261575,0.118715288232987,0.323544517341587,0.219013787726923,0.248917969948321,0.133303656525258,0.244294177782705,0.19857589326678,0.376872395094209,0.151653918242262,0.275550635015252,0.282986721264038,0.332252926506957,0.132043841286218,0.0741872584487244,0.277777777777778,0.245230807917115,0.486119879753887,0.00801832760595649,0.341673443570977,0.271875230769495,0.0449678800856533,0.410693370281732,0.224549144020472
"sediment_26",0.555555555555556,0.410295411642083,0.390159611157199,0.21672938524757,0.223993063072132,0,0.186513009347574,0.226450268867494,0.242177655728231,0.434064125173673,0.329838714558915,0.267086560556404,0.138116438310159,0.179622970043775,0.17356146754,0.477054883417899,0.233285019619015,0.291811452985978,0.425482055628014,0.270224077689095,0.0194950985904446,0.0764148400483505,0.00962199312714778,0.302437601227278,0.575791388720437,0.0240549828178695,0.369902032945511,0.310212250351925,0.0120274914089347,1,0.40913487899126
"sediment_27",0.169634489222118,0.286614490342516,0.205680926858942,0.1941055683853,0.0934691502518425,0.186513009347574,0,0.183836438294889,0.158668603697491,0.194830029717419,0.0872451361719295,0.130437157470557,0.170925549855534,0.0611582811535795,0.108007731507602,0.28854380402562,0.0858230321114339,0.0812162883929182,0.186665784954366,0.0372977893015116,0.0759501132414936,0.103983031078268,0.086722883012923,0.209983968608539,0.174588164605931,0.0273884563094799,0.104641147834219,0.157877641399313,0.0210940713320409,0.291542542001253,0.180642199830131
"sediment_21",0,0.26539937076827,0.181419326872819,0.189399931784676,0.160923586261575,0.226450268867494,0.183836438294889,0,0.033119807977788,0.34964538908832,0.151780460167644,0.232888362409979,0.176241992980051,0.260096937812551,0.171764710786515,0.389777753273354,0.190246686890667,0.324635356085938,0.411001303471975,0.263303317883265,0.101681195788451,0.00481099656357389,0.059202059202059,0.310401740533885,0.341509587031451,0,0.296270712931624,0.277682984697444,0,NA,0.166666666666667
"sediment_20",0.0794899417986194,0.341903782944863,0.208485323962578,0.160265859810614,0.118715288232987,0.242177655728231,0.158668603697491,0.033119807977788,0,0.399759742964843,0.249095052172624,0.256966608515584,0.13345882922505,0.166740589757908,0.121932397062096,0.320287947849264,0.207588600554971,0.272337062691254,0.503239700082936,0.220434174531403,0.199946158300247,0.149356054628236,0,0.223405694146937,0.531381448045648,0,0.178194530788301,0.346953126389082,0.0972222222222222,NA,0.166666666666667
"sediment_31",0.150916380297824,0.262358057543656,0.365021653210273,0.497541092615781,0.323544517341587,0.434064125173673,0.194830029717419,0.34964538908832,0.399759742964843,0,0.214935404570674,0.216952439766612,0.347959389484122,0.282713955247058,0.135691410524644,0.204645292551345,0.268101987650553,0.205775537478693,0.266099259453737,0.217623119665407,0.0181905161036772,0.256124598159849,0.221521795465484,0.274222372324582,0.17244585749643,0.0103171781806691,0.197549129250719,0.189053521156685,0.00303582270795392,0.00910746812386176,0.214432989690722
"sediment_28",0.16421733032502,0.359237255632124,0.26440653838583,0.403569779966149,0.219013787726923,0.329838714558915,0.0872451361719295,0.151780460167644,0.249095052172624,0.214935404570674,0,0.105699870615069,0.214105332785137,0.265728206408001,0.134373280363641,0.361562385328946,0.0945219889623391,0.108536961318202,0.236601472475638,0.178932051641974,0.00229885057471266,0.00481099656357389,0.0648148148148148,0.308915805393412,0.333333333333333,0.00801832760595649,0.167798945318068,0.172438369815795,0.0674518201284799,0.13490364025696,0.00662482566248397
