"Kingdom"	"Phylum"	"Class"	"Order"	"Family"
"seq8969"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"
"seq9294"	"Bacteria"	"Firmicutes"	"Bacilli"	"Exiguobacterales"	"Exiguobacteraceae"
"seq9331"	"Bacteria"	"Myxococcota"	"Polyangia"	"Polyangiales"	"BIrii41"
"seq9456"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Saccharospirillaceae"
"seq9637"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"EF100-94H03"
"seq9721"	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"
"seq9900"	"Bacteria"	"Firmicutes"	"Clostridia"	"Christensenellales"	"Christensenellaceae"
"seq9906"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"
"seq9941"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Sulfurospirillaceae"
"seq9983"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"
"seq10057"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Paracaedibacterales"	"Paracaedibacteraceae"
"seq10059"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Isosphaerales"	"Isosphaeraceae"
"seq10255"	"Bacteria"	"Bacteroidota"	"Kryptonia"	"Kryptoniales"	"MSB-3C8"
"seq10287"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Thalassobaculales"	"Nisaeaceae"
"seq10386"	"Bacteria"	"Verrucomicrobiota"	"Chlamydiae"	"Chlamydiales"	"cvE6"
"seq10391"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Family XI"
"seq10437"	"Bacteria"	"Modulibacteria"	"Moduliflexia"	"Moduliflexales"	"Moduliflexaceae"
"seq10695"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Brevibacteriaceae"
"seq10727"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Vicinamibacterales"	"Vicinamibacteraceae"
"seq10737"	"Bacteria"	"Hydrogenedentes"	"Hydrogenedentia"	"Hydrogenedentiales"	"Hydrogenedensaceae"
"seq10750"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"livecontrolB21"
"seq10865"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Gallionellaceae"
"seq10961"	"Bacteria"	"Myxococcota"	"Polyangia"	"Polyangiales"	"Eel-36e1D6"
"seq11082"	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"
"seq11436"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caedibacterales"	"Caedibacteraceae"
"seq11619"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Geodermatophilaceae"
"seq11857"	"Bacteria"	"Myxococcota"	"Polyangia"	"Polyangiales"	"Polyangiaceae"
"seq12155"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"DEV007"
"seq12262"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Bernardetiaceae"
"seq12398"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Parvibaculales"	"Parvibaculaceae"
"seq12487"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"37-13"
"seq12544"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"SC-I-84"
"seq12679"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"GoM-GC232-4463-Bac1"
"seq12983"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Microtrichales"	"Iamiaceae"
"seq12993"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Cytophagaceae"
"seq12996"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"Dehalococcoidales"	"Dehalococcoidaceae"
"seq13145"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Dethiosulfatibacteraceae"
"seq13297"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"C2U"
"seq13349"	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"
"seq13789"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Piscirickettsiales"	"Piscirickettsiaceae"
"seq14033"	"Bacteria"	"Spirochaetota"	"Leptospirae"	"Leptospirales"	"Leptospiraceae"
"seq14225"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptococcales"	"Peptococcaceae"
"seq14307"	"Bacteria"	"Acidobacteriota"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"
"seq14507"	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"[Eubacterium] coprostanoligenes group"
"seq14696"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Elsterales"	"Elsteraceae"
"seq14892"	"Bacteria"	"Actinobacteriota"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"
"seq15065"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"
"seq15366"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Kordiimonadales"	"Kordiimonadaceae"
"seq15440"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Williamwhitmaniaceae"
"seq15455"	"Bacteria"	"Cloacimonadota"	"Cloacimonadia"	"Cloacimonadales"	"LK-44f"
"seq15487"	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"
"seq15606"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Kangiellaceae"
"seq15668"	"Bacteria"	"Deinococcota"	"Deinococci"	"Deinococcales"	"Deinococcaceae"
"seq16044"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"S25-593"
"seq16058"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"
"seq16284"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Microbulbiferaceae"
"seq16920"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Pleomorphomonadaceae"
"seq17088"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SG8-4"
"seq17785"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"
"seq18229"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Thermomicrobiales"	"JG30-KF-CM45"
"seq18369"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Azospirillales"	"Azospirillaceae"
"seq18689"	"Bacteria"	"Verrucomicrobiota"	"Omnitrophia"	"Omnitrophales"	"Omnitrophaceae"
"seq18697"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Aquaspirillaceae"
"seq18942"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Dongiales"	"Dongiaceae"
"seq19156"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"
"seq19402"	"Bacteria"	"Deferrisomatota"	"Defferrisomatia"	"Defferrisomatales"	"Defferrisomataceae"
"seq19568"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Dysgonomonadaceae"
"seq19904"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"
"seq20005"	"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Eubacteriaceae"
"seq20062"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Catellicoccaceae"
"seq20233"	"Bacteria"	"Desulfobacterota"	"Dissulfuribacteria"	"Dissulfuribacterales"	"Dissulfuribacteraceae"
"seq21503"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Opitutales"	"Opitutaceae"
"seq21543"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"
"seq21620"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Oceanospirillaceae"
"seq21753"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"P13-46"
"seq22047"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"CMW-169"
"seq22154"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"
"seq22222"	"Bacteria"	"Bdellovibrionota"	"Oligoflexia"	"Silvanigrellales"	"Silvanigrellaceae"
"seq22522"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Beggiatoales"	"Beggiatoaceae"
"seq22632"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"KCLunmb-38-53"
"seq22759"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"
"seq22861"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chitinibacteraceae"
"seq23067"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Leptolyngbyales"	"Leptolyngbyaceae"
"seq23211"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Acidithiobacillales"	"Acidithiobacillaceae"
"seq23673"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Candidatus Hepatincola"
"seq24048"	"Archaea"	"Crenarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"
"seq24299"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"env.OPS 17"
"seq24625"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"
"seq24936"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"Babeliaceae"
"seq25105"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"
"seq25319"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Holosporales"	"Holosporaceae"
"seq26195"	"Bacteria"	"Verrucomicrobiota"	"Lentisphaeria"	"Victivallales"	"BD2-3"
"seq26437"	"Bacteria"	"Fibrobacterota"	"Chitinivibrionia"	"Chitinivibrionales"	"Chitinivibrionaceae"
"seq26463"	"Bacteria"	"Armatimonadota"	"Fimbriimonadia"	"Fimbriimonadales"	"Fimbriimonadaceae"
"seq26579"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Campylobacteraceae"
"seq26779"	"Bacteria"	"Desulfobacterota"	"Desulfarculia"	"Desulfarculales"	"Desulfarculaceae"
"seq27072"	"Bacteria"	"Verrucomicrobiota"	"Lentisphaeria"	"Oligosphaerales"	"Oligosphaeraceae"
"seq27310"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"MSBL9"	"SM23-30"
"seq27733"	"Bacteria"	"Acidobacteriota"	"Acidobacteriae"	"Bryobacterales"	"Bryobacteraceae"
"seq27880"	"Bacteria"	"Fibrobacterota"	"Fibrobacteria"	"Fibrobacterales"	"SBYC"
"seq28194"	"Bacteria"	"Entotheonellaeota"	"Entotheonellia"	"Entotheonellales"	"Entotheonellaceae"
"seq28370"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Flammeovirgaceae"
"seq28517"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"T34"
"seq28627"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Alcanivoracaceae1"
"seq28659"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rs-E47 termite group"
"seq28755"	"Bacteria"	"Desulfobacterota"	"Desulfuromonadia"	"Geobacterales"	"Geobacteraceae"
"seq28890"	"Bacteria"	"Proteobacteria"	"Zetaproteobacteria"	"Mariprofundales"	"Mariprofundaceae"
"seq29224"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Ardenticatenales"	"Ardenticatenaceae"
"seq29437"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Sulfuricellaceae"
"seq29542"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"
"seq29679"	"Bacteria"	"Cloacimonadota"	"Cloacimonadia"	"Cloacimonadales"	"PBS-18"
"seq30254"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Microcystaceae"
"seq30452"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Phormidiaceae"
"seq31545"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Thalassospiraceae"
"seq31772"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Kallotenuales"	"AKIW781"
"seq32284"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Veillonellaceae"
"seq32362"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaeromicrobium"
"seq32438"	"Bacteria"	"Armatimonadota"	"Armatimonadia"	"Armatimonadales"	"Armatimonadaceae"
"seq32763"	"Bacteria"	"Fibrobacterota"	"Fibrobacteria"	"Fibrobacterales"	"TG3"
"seq33060"	"Bacteria"	"Acidobacteriota"	"Holophagae"	"Holophagales"	"Holophagaceae"
"seq33076"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"Vermiphilaceae"
"seq33631"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Candidatus Jidaibacter"
"seq33824"	"Bacteria"	"Verrucomicrobiota"	"Lentisphaeria"	"Victivallales"	"PRD18C08"
"seq34518"	"Bacteria"	"Verrucomicrobiota"	"Lentisphaeria"	"Oligosphaerales"	"Lenti-02"
"seq34724"	"Bacteria"	"Gemmatimonadota"	"Longimicrobia"	"Longimicrobiales"	"Longimicrobiaceae"
"seq35073"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"M2PB4-65 termite group"
"seq35170"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"B1-7BS"
"seq35740"	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"
"seq36037"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Thermomicrobiales"	"AKYG1722"
"seq36134"	"Bacteria"	"Sumerlaeota"	"Sumerlaeia"	"Sumerlaeales"	"Sumerlaeaceae"
"seq37322"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"
"seq37909"	"Bacteria"	"Spirochaetota"	"Brevinematia"	"Brevinematales"	"Brevinemataceae"
"seq38624"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"SM2D12"
"seq39193"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"KD3-93"
"seq41662"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Leeiaceae"
"seq42633"	"Bacteria"	"Chloroflexi"	"Dehalococcoidia"	"Dehalococcoidales"	"Dehalococcoidales Incertae Sedis"
"seq42668"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sneathiellales"	"Sneathiellaceae"
"seq43400"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Halothiobacillales"	"Halothiobacillaceae"
"seq43404"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Acidaminobacteraceae"
"seq43482"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylococcaceae"
"seq44100"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"
"seq44288"	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfonatronovibrionaceae"
"seq44516"	"Bacteria"	"Firmicutes"	"Syntrophomonadia"	"Syntrophomonadales"	"Syntrophomonadaceae"
"seq44549"	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelatoclostridiaceae"
"seq45544"	"Bacteria"	"Desulfobacterota"	"Desulfuromonadia"	"Desulfuromonadales"	"Geothermobacteraceae"
"seq45689"	"Bacteria"	"Firmicutes"	"Bacilli"	"Entomoplasmatales"	"Entomoplasmatales Incertae Sedis"
"seq45859"	"Bacteria"	"Desulfobacterota"	"Desulfuromonadia"	"Bradymonadales"	"Bradymonadaceae"
"seq46732"	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"UCG-010"
"seq46949"	"Bacteria"	"Cloacimonadota"	"Cloacimonadia"	"Cloacimonadales"	"Cloacimonadaceae"
"seq47660"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"UBA12411"
"seq48352"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Methylacidiphilales"	"Methylacidiphilaceae"
"seq48810"	"Bacteria"	"Verrucomicrobiota"	"Lentisphaeria"	"Victivallales"	"Arctic95B-14"
"seq49292"	"Bacteria"	"Thermotogota"	"Thermotogae"	"Petrotogales"	"Petrotogaceae"
"seq50534"	"Bacteria"	"Dependentiae"	"Babeliae"	"Babeliales"	"UBA12409"
"seq50678"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Dermabacteraceae"
"seq51882"	"Bacteria"	"Firmicutes"	"Desulfitobacteriia"	"Desulfitobacteriales"	"TC1"
"seq52049"	"Bacteria"	"Caldisericota"	"Caldisericia"	"Caldisericales"	"WCHB1-02"
"seq52861"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"D05-2"
"seq53651"	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfoplanaceae"
"seq54034"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Anaplasmataceae"
"seq54083"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Frankiales"	"Nakamurellaceae"
"seq55177"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Dermacoccaceae"
"seq55456"	"Archaea"	"Nanoarchaeota"	"Nanoarchaeia"	"Woesearchaeales"	"SCGC AAA286-E23"
"seq56090"	"Archaea"	"Halobacterota"	"Methanosarcinia"	"Methanosarciniales"	"Methanosarcinaceae"
"seq56148"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Gottschalkia"
"seq56182"	"Bacteria"	"Firmicutes"	"Dethiobacteria"	"Dethiobacterales"	"Dethiobacteraceae"
"seq56320"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"A21b"
"seq56935"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria Incertae Sedis"	"Unknown Family"
"seq56958"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Gallaecimonadaceae"
"seq58760"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"Puniceispirillales Incertae Sedis"
"seq59110"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"SBR1031"	"A4b"
"seq59871"	"Bacteria"	"Fibrobacterota"	"Fibrobacteria"	"Fibrobacterales"	"MAT-CR-H6-H10"
"seq59894"	"Bacteria"	"Verrucomicrobiota"	"Omnitrophia"	"Omnitrophales"	"koll11"
"seq60209"	"Bacteria"	"Abditibacteriota"	"Abditibacteria"	"Abditibacteriales"	"Abditibacteriaceae"
"seq60274"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Synechococcales"	"Synechococcales Incertae Sedis"
"seq60470"	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"
"seq60689"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Amb-16S-1323"
"seq60862"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"Pyrinomonadales"	"Pyrinomonadaceae"
"seq61076"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"SBYC-2600"
"seq61571"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"LKC2.127-25"
"seq62492"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Hafniaceae"
"seq62898"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Salinivirgaceae"
"seq63734"	"Bacteria"	"Verrucomicrobiota"	"Chlamydiae"	"Chlamydiales"	"Simkaniaceae"
"seq64916"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Helicobacteraceae"
"seq65426"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Thalassobaculales"	"Oceanibaculaceae"
"seq65553"	"Bacteria"	"Firmicutes"	"Bacilli"	"Alicyclobacillales"	"Alicyclobacillaceae"
"seq65903"	"Bacteria"	"Bacteroidota"	"Ignavibacteria"	"Ignavibacteriales"	"SR-FBR-L83"
"seq66269"	"Bacteria"	"Firmicutes"	"Clostridia"	"Eubacteriales"	"Anaerofustaceae"
"seq66608"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"
"seq66736"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cardiobacteriales"	"Wohlfahrtiimonadaceae"
"seq66866"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Phycisphaerales"	"AKAU3564 sediment group"
"seq67048"	"Bacteria"	"Caldisericota"	"Caldisericia"	"Caldisericales"	"LF045"
"seq67512"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Cycloclasticaceae"
"seq68349"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Gemmatales"	"Gemmataceae"
"seq68767"	"Bacteria"	"Actinobacteriota"	"Rubrobacteria"	"Rubrobacterales"	"Rubrobacteriaceae"
"seq69386"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"MgMjR-022"
"seq69541"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Kiloniellales"	"Fodinicurvataceae"
"seq69696"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"vadinHA21"
"seq69846"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Ferrovibrionales"	"Marinibaculum"
"seq70081"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"FTLpost3"
"seq70530"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Alcanivoracaceae"
"seq71362"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"S15A-MN91"
"seq71743"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Thioprofundaceae"	"Thioprofundum"
"seq72289"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Sporomusaceae"
"seq73161"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Streptosporangiales"	"Nocardiopsaceae"
"seq73300"	"Bacteria"	"Verrucomicrobiota"	"Chlamydiae"	"Chlamydiales"	"Chlamydiaceae"
"seq75837"	"Bacteria"	"Desulfobacterota"	"Syntrophia"	"Syntrophales"	"Syntrophaceae"
"seq77068"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"211ds20"
"seq77264"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Promicromonosporaceae"
"seq77391"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"27F-1492R"
"seq77444"	"Bacteria"	"Firmicutes"	"Bacilli"	"Paenibacillales"	"Paenibacillaceae"
"seq78619"	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Rs-M59 termite group"
"seq78809"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Succinivibrionaceae"
"seq79171"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Kaistiaceae"
"seq79965"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"
"seq80424"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellae"	"Kiritimatiellales"	"Kiritimatiellaceae"
"seq81272"	"Bacteria"	"Firmicutes"	"Clostridia"	"Caldicoprobacterales"	"Caldicoprobacteraceae"
"seq81398"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhodomicrobiaceae"
"seq81663"	"Archaea"	"Halobacterota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanocorpusculaceae"
"seq81971"	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Butyricicoccaceae"
"seq83019"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"E6aC02"
"seq83390"	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ethanoligenenaceae"
"seq83844"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Ika33"
"seq84090"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Nostocaceae"
"seq84262"	"Bacteria"	"Fibrobacterota"	"Fibrobacteria"	"Fibrobacterales"	"B5-096"
"seq85695"	"Bacteria"	"Verrucomicrobiota"	"Chlamydiae"	"Chlamydiales"	"Criblamydiaceae"
"seq86009"	"Archaea"	"Altiarchaeota"	"Altiarchaeia"	"Altiarchaeales"	"Altiarchaeaceae"
"seq86541"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Alkaliphilus"
"seq86715"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Oscillatoriaceae"
"seq87090"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Thermoflexales"	"Thermoflexaceae"
"seq88299"	"Bacteria"	"Desulfobacterota"	"Syntrophobacteria"	"Syntrophobacterales"	"Syntrophobacteraceae"
"seq89377"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"
"seq95237"	"Bacteria"	"Desulfobacterota"	"Desulfuromonadia"	"Desulfuromonadales"	"C8S-102"
"seq95273"	"Bacteria"	"Desulfobacterota"	"Desulfobacteria"	"Desulfobacterales"	"Desulfatiferula"
"seq97437"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"
"seq99468"	"Bacteria"	"Verrucomicrobiota"	"Chlamydiae"	"Chlamydiales"	"Waddliaceae"
"seq101031"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcales Incertae Sedis"
"seq101649"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chitinimonadaceae"
