1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	motu	phylum	final.id
COSQ_000002912	0	0	0	0	0	1	0	0	4	4	2	1	0	0	1	4	3	2	12	3	5	0	7	1	4	1	1	4	2	0	0	0	COSQ_000007619	Annelida	Polydora cornuta
COSQ_000003087	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0	1	0	0	0	COSQ_000001109	Ochrophyta	Eudesme borealis
COSQ_000003222	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	2	0	0	0	0	COSQ_000000034	Arthropoda	Acartia tonsa
COSQ_000003404	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COSQ_000121981	Ochrophyta	Ralfsia robertii
COSQ_000003799	4	0	0	0	0	2	8	9	17	8	3	1	1	4	3	9	9	3	1	0	1	0	0	0	0	0	8	0	0	0	0	0	COSQ_000003799	Ochrophyta	Aureococcus anophagefferens
COSQ_000004055	20	0	20	19	23	21	17	24	34	33	13	13	14	21	15	21	27	21	21	21	16	19	8	19	21	24	28	17	18	25	15	13	COSQ_000004055	Chlorophyta	Bathycoccus prasinos
COSQ_000004584	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	COSQ_000090744	Annelida	Alitta succinea/Hediste diversicolor
COSQ_000004925	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COSQ_000007619	Annelida	Polydora cornuta
COSQ_000005260	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COSQ_000007619	Annelida	Polydora cornuta
COSQ_000005430	1	0	0	0	0	1	0	1	3	0	4	4	1	0	0	1	0	0	0	0	3	0	6	2	2	1	0	3	1	1	0	0	COSQ_000000034	Arthropoda	Acartia tonsa
COSQ_000005464	0	0	0	0	0	0	0	1	1	8	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	COSQ_000071005	Ochrophyta	Hecatonema terminale
