"Eelgrass"	"Rocks"	"Sand"
"94"	"Phaeocystaceae"	"Mytilidae"	"Pectinidae"
"95"	"Phyllodocidae"	"Naididae"	"Peronosporaceae"
"96"	"Pleuronectidae"	"Nassariidae"	"Petricolidae"
"97"	"Podonidae"	"Naviculaceae"	"Phaeocystaceae"
"98"	"Polyceridae"	"Nemaliaceae"	"Phyllodocidae"
"99"	"Polyidaceae"	"Nereididae"	"Pleuronectidae"
"100"	"Polynoidae"	"Noelaerhabdaceae"	"Podonidae"
"101"	"Prorocentraceae"	"Obeliidae"	"Prorocentraceae"
"102"	"Pycnococcaceae"	"Oithonidae"	"Pycnococcaceae"
"103"	"Ralfsiaceae"	"Olindiidae"	"Ralfsiaceae"
"104"	"Rhodomelaceae"	"Ophiocordycipitaceae"	"Rhodomelaceae"
"105"	"Rhodophysemataceae"	"Ophiuridae"	"Rissoidae"
"106"	"Rissoidae"	"Orbiniidae"	"Salmonidae"
"107"	"Salmonidae"	"Ostreidae"	"Scytosiphonaceae"
"108"	"Scytosiphonaceae"	"Panagrolaimidae"	"Semelidae"
"109"	"Semelidae"	"Pandeidae"	"Sertulariidae"
"110"	"Sertulariidae"	"Paracalanidae"	"Sididae"
"111"	"Sididae"	"Paraonidae"	"Skeletonemataceae"
"112"	"Skeletonemataceae"	"Parechinidae"	"Sphacelariaceae"
"113"	"Sphacelariaceae"	"Pectinariidae"	"Spionidae"
"114"	"Spionidae"	"Peronosporaceae"	"Sporidiobolaceae"
"115"	"Syngnathidae"	"Petricolidae"	"Syngnathidae"
"116"	"Tachidiidae"	"Phaeocystaceae"	"Tachidiidae"
"117"	"Tellinidae"	"Phyllodocidae"	"Tellinidae"
"118"	"Temoridae"	"Pleuronectidae"	"Temoridae"
"119"	"Terebellidae"	"Podonidae"	"Terebellidae"
"120"	"Tergipedidae"	"Polyidaceae"	"Tortanidae"
"121"	"Tubulariidae"	"Prorocentraceae"	"Trinchesiidae"
"122"	"Ulmaridae"	"Pycnococcaceae"	"Tubulariidae"
"123"	"Veneridae"	"Ralfsiaceae"	"Ulmaridae"
"124"	"Vesiculariidae"	"Recurvirostridae"	"Veneridae"
"125"	"Zoarcidae"	"Rhodomelaceae"	"Vesiculariidae"
"126"	NA	"Rhodophysemataceae"	"Zoarcidae"
"127"	NA	"Rissoidae"	NA
"128"	NA	"Salmonidae"	NA
"129"	NA	"Sargassaceae"	NA
"130"	NA	"Scombridae"	NA
"131"	NA	"Scophthalmidae"	NA
"132"	NA	"Scytosiphonaceae"	NA
"133"	NA	"Semelidae"	NA
"134"	NA	"Sertulariidae"	NA
"135"	NA	"Sididae"	NA
"136"	NA	"Skeletonemataceae"	NA
"137"	NA	"Sphacelariaceae"	NA
"138"	NA	"Spionidae"	NA
"139"	NA	"Sporidiobolaceae"	NA
"140"	NA	"Styelidae"	NA
"141"	NA	"Syllidae"	NA
"142"	NA	"Syngnathidae"	NA
"143"	NA	"Tachidiidae"	NA
"144"	NA	"Tellinidae"	NA
"145"	NA	"Temoridae"	NA
"146"	NA	"Terebellidae"	NA
"147"	NA	"Teredinidae"	NA
"148"	NA	"Tergipedidae"	NA
"149"	NA	"Trinchesiidae"	NA
"150"	NA	"Tubulariidae"	NA
"151"	NA	"Ulmaridae"	NA
"152"	NA	"Varunidae"	NA
"153"	NA	"Vesiculariidae"	NA
"154"	NA	"Zoarcidae"	NA
