Sample_ID	d14N_15N	Norm_d14N_15N	d12C_13C	Norm_d12C_13C	Remarks	QC	MISS
C14RB2	5.677	5.307134793	-27.285	-24.74125462	N and C under QL	NC_und_QL	
C14RB3	3.575	3.192672539	-25.441	-22.5708403	N and C under QL	NC_und_QL	
C14SB1	4.529	4.171930477	-21.108	-21.37342928	N under QL	N_und_QL	
C14SB2	4.652	4.276057814	-23.775	-21.06287144	N under QL	N_und_QL	
C14SB3	5.647	5.27695693	-22.832	-20.02657724	N under QL	N_und_QL	
C15RB1	9.154	8.804749092	-26.598	-24.1084599		OK	
C15RB2	10.643	10.30257702	-27.186	-24.67972736		OK	
C15RB3	7.243	6.882419232	-25.182	-22.66809832		OK	
C15SB1	6.782	6.418686073	-21.405	-18.85109061		OK	
C15SB2	6.971	6.608806609	-20.341	-17.79729276		OK	
C15SB3	7.417	7.057450836	-20.73	-18.1569298		OK	
C16EB1	6.374	6.008267139	-20.15	-17.53740015		OK	
C16EB2	6.496	6.130990448	-19.984	-17.38838585		OK	
C16EB3	6.005	5.637079426	-19.824	-17.29836583		OK	
C16RB1	5.956	5.587788917	-20.682	-18.10378108		OK	
C16RB2	6.727	6.363359991	-20.143	-17.64349569		OK	
C16RB3	6.256	5.889567545	-19.8	-17.20920102		OK	
C16SB1	4.381	4.00345112	-28.933	-26.4516081		OK	
C16SB2	5.475	5.103937184	-17.453	-14.85957138		OK	
C16SB3	4.516	4.139251502	-17.662	-15.10331618		OK	
C17EB1	8.88	8.529124612	-21.111	-18.51647471		OK	
C17EB2	5.915	5.546545838	-22.064	-19.52822284		OK	
C17EB3	6.058	5.690393651	-21.045	-18.54443728		OK	
C17RB1	5.176	4.803164484	-21.7	-19.16740588		OK	
C17RB2	5.424	5.052634817	-23.03	-20.54723448		OK	
C17RB3	6.452	6.086729582	-21.8	-19.23138479		OK	
C17SB1	4.871	4.496356212	-18.879	-16.29331804		OK	
C17SB2	4.687	4.31126532	-20.659	-18.12098283		OK	
C17SB3	3.98	3.600073687	-18.642	-16.09127201		OK	
C18RB1	5.088	4.714642753	-22.775	-19.99236417		OK	
C18RB2	5.378	5.006362094	-23.076	-20.37565534		OK	
C18RB3	4.815	4.440024202	-24.583	-21.93477673	N under QL	N_und_QL	
C18SB1	6.322	5.955958843	-33.646	-31.07434154		OK	
C18SB2	6.414	6.048504289	-29.597	-27.08229116		OK	
C18SB3	5.908	5.539504337	-29.589	-27.0743418		OK	
C19EB1	5.835	5.466071537	-25.673	-23.16228369		OK	
C19EB2	5.44	5.068729677	-23.863	-21.32881037		OK	
C19EB3	5.187	4.814229701	-21.972	-19.39810365		OK	
C19RB1	7.016	6.654073403	-24.797	-21.9761842	N and C under QL	NC_und_QL	
C19RB2	4.623	4.24688588	-25.328	-22.58100146	N and C under QL	NC_und_QL	
C19RB3	3.243	2.858704191	-24.893	-22.11482667	N and C under QL	NC_und_QL	
C19SB1	2.994	2.608227929	-23.059	-20.43014731		OK	
C19SB2	4.176	3.797235724	-22.428	-19.7849594		OK	
C19SB3	3.603	3.220838544	-22.458	-19.80196231		OK	
C1RB1	8.141	7.775550983	-23.469	-22.60094992	N and C under QL	NC_und_QL	
C1RB2	2.53	2.161211809	-25.483	-24.69167006	N and C under QL	NC_und_QL	
C1RB3	7.449	7.083139165	-24.929	-23.82555288	N and C under QL	NC_und_QL	
C1SB1	7.237	6.871013002	-23.605	-22.80316215	N and C under QL	NC_und_QL	
C1SB2	6.8	6.433752938	-22.777	-21.67319516	N and C under QL	NC_und_QL	
C1SB3	6.45	6.083544649	-23.701	-22.96475021	N under QL	N_und_QL	
C20EB1	3.396	3.492719359	-20.732	-20.45363186		OK	
C20EB2	2.704	2.813657137	-16.896	-16.51244276		OK	
C20EB3	3.214	3.314122069	-20.006	-19.73504808		OK	
C20RB1	0.237	0.39278069	-23.188	-22.9539983	N under QL	N_und_QL	
C20RB2	3.245	3.344542487	-19.536	-18.8707382	N under QL	N_und_QL	
C20RB3	6.4	6.44055594	-23.753	-23.37495736	N and C under QL	NC_und_QL	
C20SB1	2.797	2.410059964	-21.855	-19.08604071		OK	
C20SB2	3.605	3.222850402	-21.195	-18.39661074		OK	
C20SB3	2.474	2.085144974	-20.637	-17.80295297		OK	
C21EB1	1.682	1.810764665	-18.358	-18.12523287		OK	
C21EB2	1.711	1.839222475	-15.956	-15.70285677		OK	
C21EB3	1.857	1.982492828	-16.826	-16.56709844		OK	
C21RB1	3.916	4.002997329	-20.346	-20.07345856		OK	
C21RB2	2.681	2.79108715	-24.368	-24.28092031	N under QL	N_und_QL	
C21RB3	3.472	3.567298447	-21.115	-20.91619472		OK	
C21SB1	1.183	1.321094075	-19.012	-18.7449982		OK	
C21SB2	1.644	1.773475121	-17.608	-17.24974866		OK	
C21SB3	1.335	1.47025225	-18.543	-18.22849379		OK	
C23RB1	2.529	2.641928974	-23.979	-23.7766871		OK	
C23RB2	1.626	1.755811653	-16.582	-15.96441558		OK	
C23RB3	1.786	1.912820259	-23.487	-23.24930944		OK	
C23SB1	4.695	4.767432981	-24.588	-24.26527066	N and C under QL	NC_und_QL	
C23SB2	4.209	4.290519339	-23.422	-22.99739261	N and C under QL	NC_und_QL	
