Sample_ID	d14N_15N	Norm_d14N_15N	d12C_13C	Norm_d12C_13C	Remarks	QC	MISS
2C17RB3	0.79	0.830708933	-23.702	-23.26774182	N and C under QL	NC_und_QL	
2C17SB1	3.992329426	3.917242493	-17.7076194	-16.78255618	N under QL	N_und_QL	
2C17SB2	3.475690845	3.721662619	-19.12005965	-18.0692415	N under QL	N_und_QL	
2C17SB3	3.000844743	2.935674386	-18.06921062	-17.17643487	N under QL	N_und_QL	
2C18RB1	2.968	2.979965515	-19.751	-19.22391138		OK	
2C18RB2	3.354	3.360871411	-20.107	-19.63353251		OK	
2C18RB3	3.251	3.259230718	-21	-20.54751362		OK	
2C18SB1	3.746	3.747698123	-20.158	-20.20103006		OK	
2C18SB2	3.754	3.755592546	-20.52	-20.56161939		OK	
2C18SB3	4.61	4.600295776	-19.961	-20.00889686		OK	
2C19EB1	2.408	2.427355925	-21.743	-21.43549772		OK	
2C19EB2	1.702	1.730673122	-20.218	-19.78453472		OK	
2C19EB3	2.556	2.573402746	-21.166	-20.91639377		OK	
2C19RB1	2.466	2.48459049	-20.124	-20.16573014		OK	
2C19RB2	1.631	1.66061012	-20.236	-20.23866269		OK	
2C19RB3	1.573	1.603375555	-20.829	-20.44845977		OK	
2C19SB1	0.693	0.734989058	-19.268	-18.68561677		OK	
2C19SB2	0.002	0.053108296	-18.219	-17.52842923		OK	
2C19SB3	-0.13	-0.077149678	-17.873	-17.21364408		OK	
2C1RB1	0.661	0.542774566	-22.821	-22.52008508		OK	
2C1RB2	1.947	1.817093311	-32.034	-32.36971952		OK	
2C1RB3	-8.279	-8.316019818	-44.274	-46.02416447		OK	
2C1SB1	-4.395	-4.467299752	-25.47	-25.05075893	N and C under DL	NC_und_QL	
2C1SB2	-6.879	-6.928736581	-24.591	-23.74066534	N and C under DL	NC_und_QL	
2C1SB3	-4.963	-5.03014038	-24.062	-23.24872277	N and C under DL	NC_und_QL	
2C20EB1	1.326	1.359635254	-16.096	-15.9866508		OK	
2C20EB2	1.418	1.450421115	-20.81	-20.27692564		OK	
2C20EB3	2.597	2.613861662	-14.407	-14.23128335		OK	
2C20RB1	1.402	1.43463227	-20.622	-20.12229482		OK	
2C20RB2	1.568	1.598441541	-20.7	-20.17967527		OK	
2C20RB3	2.189	2.211246104	-20.123	-19.63005898		OK	
2C20SB1	1.031	1.068528417	-20.392	-19.61613106		OK	
2C20SB2	0.251	0.298822203	-20.77	-20.08762599		OK	
2C20SB3	1.485	1.516536906	-20.978	-20.28298773		OK	
2C21EB1	2.185	2.207298892	-17.29	-17.22630596		OK	
2C21EB2	2.224	2.245784203	-17.499	-17.50208112		OK	
2C21EB3	2.523	2.540838252	-17.549	-17.51479026		OK	
2C21RB1	2.126	2.149077525	-20.172	-20.19183766		OK	
2C21RB2	2.253	2.274401486	-19.758	-19.75863115		OK	
2C21RB3	2.202	2.224074541	-19.858	-19.87516695		OK	
2C21SB1	0.889	0.928402414	-15.735	-15.63924028		OK	
2C21SB2	0.993	1.031029909	-15.562	-15.44996771		OK	
2C21SB3	1.151	1.186944758	-16.285	-16.2161888		OK	
2C23RB1	-1.062	-0.996849924	-24.666	-24.49183995		OK	
2C23RB2	-1.5	-1.429069567	-25.191	-25.16481321		OK	
2C23RB3	0.547	0.590915843	-25.366	-25.3285897		OK	
2C23SB1	0.242	0.289940978	-25.046	-24.66961377	N and C under QL	NC_und_QL	
2C23SB2	-1.003	-0.938628556	-23.482	-22.28342925	N and C under QL	NC_und_QL	
2C23SB3	1.08	1.116881756	-24.361	-23.5189456	N and C under QL	NC_und_QL	
2C24EB1	4.233	4.228271106	-18.02	-17.98855464		OK	
2C24EB2	3.894	3.893744943	-18.727	-18.70105187		OK	
2C24EB3	3.777	3.778289011	-18.548	-18.57474466		OK	
2C24RB1	4.626	4.616084621	-17.34	-17.25825996		OK	
2C24RB2	4.556	4.547008422	-17.608	-17.6114432		OK	
2C24RB3	5.182	5.164746999	-18.04	-18.04087308		OK	
2C24SB1	1.553	1.583639499	-19.955	-19.51654771		OK	
2C24SB2	1.832	1.858957491	-19.2	-18.57844766		OK	
2C24SB3	3.016	3.027332051	-18.931	-18.32158062		OK	
2C25EB1	5.125866789	4.926703224	-23.18812893	-22.77643639	N under QL	N_und_QL	
2C25EB2	4.406705241	4.815715584	-22.46192163	-21.65649702	N under QL	N_und_QL	
2C25EB3	4.647	4.636807481	-17.918	-16.92227958		OK	
2C25RB1	6.003	5.974912129	-20.888	-20.9382021		OK	
2C25RB2	-0.574827568	-0.826616648	-21.58263786	-20.9822339	N under QL	N_und_QL	
2C25RB3	5.551913164	5.733180245	-21.89123825	-21.14058437	N under QL	N_und_QL	
2C25SB1	NA	NA	-21.844	-20.54525532	N and C under QL	NC_und_QL	N
2C25SB2	NA	NA	-21.718	-20.59382013	N and C under QL	NC_und_QL	N
2C25SB3	NA	NA	-21.505	-20.36617775	N and C under QL	NC_und_QL	N
2C26EB1	6.013705937	7.823179986	-22.52738901	-21.25033266	N under QL	N_und_QL	
2C26EB2	-0.518	-0.46002918	-21.98	-20.90048627	N and C under QL	NC_und_QL	
2C26EB3	0.086	0.135999735	-21.086	-19.9116257	N and C under QL	NC_und_QL	
2C26RB1	-1.634	-1.567828405	-21.655	-18.89126068	N and C under QL	NC_und_QL	
2C26RB2	2.358	2.371005282	-22.127	-20.52849433	N under QL	N_und_QL	
2C26RB3	2.061	2.077960791	-22.215	-20.99439696	N and C under QL	NC_und_QL	
2C26SB1	0.245	0.292901386	-22.003	-21.36023642		OK	
2C26SB2	0.158	0.200305354	-21.348	-19.34357051	N under QL	N_und_QL	
2C26SB3	1.368	1.394190314	-21.416	-19.00839687	N under QL	N_und_QL	
2C27EB1	2.546	2.556501457	-22.823	-22.27423602		OK	
2C27EB2	3.909	3.90134873	-23.184	-23.2585941		OK	
2C27EB3	1.86	1.879637753	-23.226	-22.61843777		OK	
2C27RB1	-1.298	-1.236303325	-23.578	-19.49660993	N and C under QL	NC_und_QL	
2C27RB2	1.204	1.232374501	-24.098	-21.23716989	N and C under QL	NC_und_QL	
2C27RB3	2.539	2.549594685	-23.254	-19.83670223	N and C under QL	NC_und_QL	
2C27SB1	-2.411	-2.334480152	-23.156	-17.28359347	N and C under QL	NC_und_QL	
2C27SB2	-1.95	-1.879619849	-23.284	-17.78312906	N and C under QL	NC_und_QL	
2C27SB3	-0.113	-0.06708541	-25.732	-23.72035816	N and C under QL	NC_und_QL	
2C28EB1	3.154	3.156403983	-24.741	-23.70692712		OK	
2C28EB2	2.89	2.895919991	-23.479	-22.51341081		OK	
2C28EB3	4.228	4.21610022	-22.796	-21.93439165		OK	
2C28RB1	-0.305	-0.256528312	-32.117	-32.78878402	N under QL	N_und_QL	
2C28RB2	-1.611	-1.545134724	-32.171	-32.86566753	N under QL	N_und_QL	
2C28RB3	-2.412	-2.335466834	-31.526	-32.00204114	N under QL	N_und_QL	
2C28SB1	3.798	3.791827052	-22.496	-20.3245083	N under QL	N_und_QL	
2C28SB2	2.24	2.254576831	-21.964	-19.45213641	C under QL	C_und_QL	
2C28SB3	1.877	1.896411343	-26.961	-26.52224422	N under QL	N_und_QL	
2C29EB1	12.022	11.90629805	-24.022	-24.08763659		OK	
2C29EB2	10.092	10.00200221	-25.86	-25.6108405		OK	
2C29EB3	12.71	12.58513512	-24.577	-24.62828946		OK	
2C29RB1	5.675	5.643828763	-29.176	-29.19697553	N under QL	N_und_QL	
2C29RB2	8.67	8.59894071	-29.111	-29.10401371	N under QL	N_und_QL	
2C29RB3	8.612	8.541713166	-30.684	-30.99022949	N under QL	N_und_QL	
2C29SB1	12.616	12.49238703	-24.033	-24.11531672		OK	
2C29SB2	12.024	11.90827142	-24.581	-24.63507682		OK	
2C29SB3	12.247	12.12830146	-23.365	-23.39742094		OK	
2C30EB1	1.465	1.489898447	-20.366	-19.50070039		OK	
2C30EB2	1.747	1.768142711	-18.999	-18.83878681		OK	
2C30EB3	2.576	2.586101911	-19.02	-18.93196362		OK	
2C30RB1	1.987	2.004946339	-20.396	-20.42571082		OK	
2C30RB2	1.867	1.886544525	-20.74	-20.71903423		OK	
2C30RB3	2.115	2.131241608	-20.43	-20.36003471		OK	
2C30SB1	0.633	0.668979202	-23.98	-22.58264523	N under QL	N_und_QL	
2C30SB2	-0.214	-0.16674027	-27.845	-27.6784921		OK	
2C30SB3	0.401	0.440069028	-27.937	-27.78024221		OK	
2C31EB1	3.253	3.210716917	-25.519	-24.90398334		OK	
2C31EB2	1.357	1.338459854	-25.481	-24.84441063		OK	
2C31EB3	1.171	1.154789066	-23.911	-22.94113305		OK	
2C31RB1	1.753	1.774062801	-32.683	-33.24040268	N under QL	N_und_QL	
2C31RB2	1.603	1.626060534	-31.072	-31.43105722	N under QL	N_und_QL	
2C31RB3	5.082	5.016812996	-29.42	-29.15382054		OK	
2C31SB1	0.123	0.165771492	-29.48	-29.44400594	N under QL	N_und_QL	
2C31SB2	-0.832	-0.776509613	-29.088	-28.95436667	N under QL	N_und_QL	
2C31SB3	-2.469	-2.391707696	-29.062	-28.92991968	N under QL	N_und_QL	
2C32RB1	0.123	0.119912799	-25.347	-23.9501259		OK	
2C32RB2	0.566	0.557365267	-26.729	-26.1486362		OK	
2C32RB3	-2.367	-2.338905811	-25.423	-23.68927761	N under QL	N_und_QL	
2C32SB1	-1.148	-1.135170917	-30.795	-30.2596878	N and C under QL	NC_und_QL	
2C32SB2	-1.15	-1.137145872	-31.188	-30.87050016	N and C under QL	NC_und_QL	
