Sample_ID	NO2NO3 	NO2 	NH3	PO4	Si 	NO3 	Latitude	Longitude	Chlorophyll	Salinity	Temperature	CTD_depth	Time
C30EW	0.16	-0.01	0.285	0.165	0.13	0.17	55.75904756	11.31756065	0.784310337	13.50357744	19.84371376	99.6172905	24/06/2019
C30RW	0.355	0.03	0.365	0.185	0.44	0.325	55.75466545	11.32239182	1.173494236	13.4518497	20.12608719	100.7276535	24/06/2019
C30SW	0.24	-0.005	0.4	0.24	0.085	0.245	55.75885483	11.34937786	0.809756976	13.55830711	19.64048004	101.4157295	24/06/2019
C31EW	0.225	-0.005	0.285	0.19	2.985	0.23	55.34659324	11.10107746	0.604686999	11.21605006	18.86519623	104.9042702	25/06/2019
C31RW	0.415	0	0.51	0.2	0.355	0.415	55.32808218	11.12842404	1.781219862	11.15588216	20.00775909	42.29545593	25/06/2019
C31SW	0.305	0.005	0.305	0.275	2.635	0.3	55.3475465	11.10117661	0.583730943	11.19790007	19.03575897	100.2503395	25/06/2019
C32RW	0.405	0	0.55	0.625	3.68	0.405	55.2521937	14.8263621	1.495319383	7.619033368	14.45507145	37.37735748	13/06/2019
C32SW	0.53	0	2.965	0.365	8.11	0.53	55.2571398	14.8194941	1.447419826	7.621165939	14.23378658	43.61572266	13/06/2019
C33RW	0.165	0	0.36	0.44	1.16	0.165	55.02243003	14.90372037	0.924970379	7.587817462	18.72673798	20.45888901	11/06/2019
C33SW	0.13	0	0.44	0.16	5.39	0.13	55.02055438	14.91194958	0.228929944	7.662561211	15.51673889	98.76651764	11/06/2019
C3RW	0.82	0.15	5.27	0.305	3.115	0.67	55.9967104	8.1173628	5.538244052	31.43626189	18.05178833	22.15051651	19/06/2019
C3SW	1.2	0.165	4.165	0.155	3.795	1.035	55.98988942	8.12051726	2.641817728	31.42265521	17.25178528	97.65481949	19/06/2019
C4RW	4.64	0.5	4.295	0.745	4.995	4.14	57.1265072	8.6208932	5.014365103	32.34246696	15.91403008	44.09265518	20/06/2019
C4SW	1.72	0.195	5.255	0.235	2.945	1.525	57.1264403	8.6151892	0.706398714	32.36683029	15.48829651	98.76451492	20/06/2019
C5RW	0.87	0.045	1.005	0.17	1.085	0.825	57.59591614	9.95747873	4.454515083	32.84884595	10.16619873	82.63292313	09/05/2019
C5SW	0.6	0.04	0.75	0.13	1.605	0.56	57.5921291	9.94725756	0.707895575	32.72651332	9.203084946	100.0817299	09/05/2019
C6RW	2.47	0.08	1.015	0.57	6.615	2.39	57.338797	10.5260316	1.58655307	25.9777931	11.06990814	41.71066284	08/05/2019
C6SW	0.225	0.015	1.075	0.115	2.075	0.21	57.31914996	10.53214435	1.796203443	26.00193447	8.911482811	99.45259094	08/05/2019
C7RW	0.45	0.04	1.06	0.13	2.63	0.41	57.3214171	11.1282307	0.525256062	19.59797498	9.922463417	79.72812653	07/05/2019
C7SW	0.07	0.01	0.565	0.07	3.105	0.06	57.32297997	11.13292171	0.385299544	19.59797498	9.922463417	79.72812653	07/05/2019
C8EW	0.105	0	0.76	0.19	1.8	0.105	57.05959471	9.87131989	4.894706023	26.08535954	10.2158289	35.31389236	06/05/2019
C8RW	1.825	0.07	2.04	0.16	3.81	1.755	57.0550982	9.8705184	2.439763925	26.19450137	9.756940842	22.20258713	16/05/2019
C8SW	1.095	0.01	0.78	-0.01	3.715	1.085	57.01030036	9.63479997	0.917839332	26.23377627	13.06766129	104.1656494	06/05/2019
C9EW	7.165	0.445	2.515	0.16	7.3	6.72	56.71051209	9.20700727	1.277086008	23.93778546	12.35728073	99.99198914	14/05/2019
C9RW	8.84	0.66	4.66	0.605	8.8	8.18	56.706257	9.2016147	0.889105586	24.04327571	12.85373688	51.02157593	14/05/2019
C9SW	9.595	0.585	1.425	0.165	9.815	9.01	56.71280751	9.2091164	0.401128851	23.86543664	11.87744999	96.18291855	14/05/2019
