Root	Community	Cluster	Season	Habitat	Substrate	Lat	Lon	Geographic_Order	Sub_Area	New_Area	dist_from_C33.km
2C9RB	2C9RB	9	autumn	rocks	sediment	56.71281	9.209116	267	Limfjord	Limfjord	501.0269
2C9RW	2C9RW	9	autumn	rocks	water	56.71281	9.209116	268	Limfjord	Limfjord	501.0269
2C9SB	2C9SB	9	autumn	sand	sediment	56.71281	9.209116	269	Limfjord	Limfjord	501.0269
2C9SW	2C9SW	9	autumn	sand	water	56.71281	9.209116	270	Limfjord	Limfjord	501.0269
C9EB	C9EB	9	spring	eelgrass	sediment	56.71281	9.209116	271	Limfjord	Limfjord	501.0269
C9EW	C9EW	9	spring	eelgrass	water	56.71281	9.209116	272	Limfjord	Limfjord	501.0269
C9RB	C9RB	9	spring	rocks	sediment	56.71281	9.209116	273	Limfjord	Limfjord	501.0269
C9RW	C9RW	9	spring	rocks	water	56.71281	9.209116	274	Limfjord	Limfjord	501.0269
C9SB	C9SB	9	spring	sand	sediment	56.71281	9.209116	275	Limfjord	Limfjord	501.0269
C9SW	C9SW	9	spring	sand	water	56.71281	9.209116	276	Limfjord	Limfjord	501.0269
2C10EB	2C10EB	10	autumn	eelgrass	sediment	56.55926	8.615045	277	Limfjord	Limfjord	531.2921
2C10EW	2C10EW	10	autumn	eelgrass	water	56.55926	8.615045	278	Limfjord	Limfjord	531.2921
2C10RB	2C10RB	10	autumn	rocks	sediment	56.55926	8.615045	279	Limfjord	Limfjord	531.2921
2C10RW	2C10RW	10	autumn	rocks	water	56.55926	8.615045	280	Limfjord	Limfjord	531.2921
2C10SB	2C10SB	10	autumn	sand	sediment	56.55926	8.615045	281	Limfjord	Limfjord	531.2921
C10EB	C10EB	10	spring	eelgrass	sediment	56.55926	8.615045	283	Limfjord	Limfjord	531.2921
C10EW	C10EW	10	spring	eelgrass	water	56.55926	8.615045	284	Limfjord	Limfjord	531.2921
C10RB	C10RB	10	spring	rocks	sediment	56.55926	8.615045	285	Limfjord	Limfjord	531.2921
C10RW	C10RW	10	spring	rocks	water	56.55926	8.615045	286	Limfjord	Limfjord	531.2921
C10SB	C10SB	10	spring	sand	sediment	56.55926	8.615045	287	Limfjord	Limfjord	531.2921
C10SW	C10SW	10	spring	sand	water	56.55926	8.615045	288	Limfjord	Limfjord	531.2921
2C4RB	2C4RB	4	autumn	rocks	sediment	57.12644	8.615189	289	North Sea	North Sea	588.4757
2C4RW	2C4RW	4	autumn	rocks	water	57.12644	8.615189	290	North Sea	North Sea	588.4757
2C4SB	2C4SB	4	autumn	sand	sediment	57.12644	8.615189	291	North Sea	North Sea	588.4757
2C4SW	2C4SW	4	autumn	sand	water	57.12644	8.615189	292	North Sea	North Sea	588.4757
C4RB	C4RB	4	spring	rocks	sediment	57.12644	8.615189	293	North Sea	North Sea	588.4757
C4RW	C4RW	4	spring	rocks	water	57.12644	8.615189	294	North Sea	North Sea	588.4757
C4SB	C4SB	4	spring	sand	sediment	57.12644	8.615189	295	North Sea	North Sea	588.4757
C4SW	C4SW	4	spring	sand	water	57.12644	8.615189	296	North Sea	North Sea	588.4757
2C3RB	2C3RB	3	autumn	rocks	sediment	55.98989	8.120517	297	North Sea	North Sea	632.1162
2C3RW	2C3RW	3	autumn	rocks	water	55.98989	8.120517	298	North Sea	North Sea	632.1162
2C3SB	2C3SB	3	autumn	sand	sediment	55.98989	8.120517	299	North Sea	North Sea	632.1162
2C3SW	2C3SW	3	autumn	sand	water	55.98989	8.120517	300	North Sea	North Sea	632.1162
C3RB	C3RB	3	spring	rocks	sediment	55.98989	8.120517	301	North Sea	North Sea	632.1162
C3RW	C3RW	3	spring	rocks	water	55.98989	8.120517	302	North Sea	North Sea	632.1162
C3SB	C3SB	3	spring	sand	sediment	55.98989	8.120517	303	North Sea	North Sea	632.1162
C3SW	C3SW	3	spring	sand	water	55.98989	8.120517	304	North Sea	North Sea	632.1162
2C1RB	2C1RB	1	autumn	rocks	sediment	55.46984	8.31535	305	North Sea	North Sea	698.4288
2C1RW	2C1RW	1	autumn	rocks	water	55.46984	8.31535	306	North Sea	North Sea	698.4288
2C1SW	2C1SW	1	autumn	sand	water	55.46984	8.31535	308	North Sea	North Sea	698.4288
C1RW	C1RW	1	spring	rocks	water	55.46984	8.31535	310	North Sea	North Sea	698.4288
C1SB	C1SB	1	spring	sand	sediment	55.46984	8.31535	311	North Sea	North Sea	698.4288
C1SW	C1SW	1	spring	sand	water	55.46984	8.31535	312	North Sea	North Sea	698.4288
