Root	Community	Cluster	Season	Habitat	Substrate	Lat	Lon	Geographic_Order	Sub_Area	New_Area	dist_from_C33.km
2C27EB	2C27EB	27	autumn	eelgrass	sediment	56.04451	12.609195	61	The Sound	Kattegat	219.3034
2C27EW	2C27EW	27	autumn	eelgrass	water	56.04451	12.609195	62	The Sound	Kattegat	219.3034
2C27RB	2C27RB	27	autumn	rocks	sediment	56.04451	12.609195	63	The Sound	Kattegat	219.3034
2C27RW	2C27RW	27	autumn	rocks	water	56.04451	12.609195	64	The Sound	Kattegat	219.3034
2C27SB	2C27SB	27	autumn	sand	sediment	56.04451	12.609195	65	The Sound	Kattegat	219.3034
2C27SW	2C27SW	27	autumn	sand	water	56.04451	12.609195	66	The Sound	Kattegat	219.3034
C27EB	C27EB	27	spring	eelgrass	sediment	56.04451	12.609195	67	The Sound	Kattegat	219.3034
C27EW	C27EW	27	spring	eelgrass	water	56.04451	12.609195	68	The Sound	Kattegat	219.3034
C27RB	C27RB	27	spring	rocks	sediment	56.04451	12.609195	69	The Sound	Kattegat	219.3034
C27RW	C27RW	27	spring	rocks	water	56.04451	12.609195	70	The Sound	Kattegat	219.3034
C27SB	C27SB	27	spring	sand	sediment	56.04451	12.609195	71	The Sound	Kattegat	219.3034
C27SW	C27SW	27	spring	sand	water	56.04451	12.609195	72	The Sound	Kattegat	219.3034
2C21EB	2C21EB	21	autumn	eelgrass	sediment	54.84749	11.479693	73	Great Belt	Baltic Sea	227.6274
2C21EW	2C21EW	21	autumn	eelgrass	water	54.84749	11.479693	74	Great Belt	Baltic Sea	227.6274
2C21RB	2C21RB	21	autumn	rocks	sediment	54.84749	11.479693	75	Great Belt	Baltic Sea	227.6274
2C21RW	2C21RW	21	autumn	rocks	water	54.84749	11.479693	76	Great Belt	Baltic Sea	227.6274
2C21SB	2C21SB	21	autumn	sand	sediment	54.84749	11.479693	77	Great Belt	Baltic Sea	227.6274
2C21SW	2C21SW	21	autumn	sand	water	54.84749	11.479693	78	Great Belt	Baltic Sea	227.6274
C21EB	C21EB	21	spring	eelgrass	sediment	54.84749	11.479693	79	Great Belt	Baltic Sea	227.6274
C21EW	C21EW	21	spring	eelgrass	water	54.84749	11.479693	80	Great Belt	Baltic Sea	227.6274
C21RB	C21RB	21	spring	rocks	sediment	54.84749	11.479693	81	Great Belt	Baltic Sea	227.6274
C21RW	C21RW	21	spring	rocks	water	54.84749	11.479693	82	Great Belt	Baltic Sea	227.6274
C21SB	C21SB	21	spring	sand	sediment	54.84749	11.479693	83	Great Belt	Baltic Sea	227.6274
C21SW	C21SW	21	spring	sand	water	54.84749	11.479693	84	Great Belt	Baltic Sea	227.6274
2C20EB	2C20EB	20	autumn	eelgrass	sediment	54.88502	11.013504	85	Great Belt	Baltic Sea	258.1143
2C20EW	2C20EW	20	autumn	eelgrass	water	54.88502	11.013504	86	Great Belt	Baltic Sea	258.1143
2C20RB	2C20RB	20	autumn	rocks	sediment	54.88502	11.013504	87	Great Belt	Baltic Sea	258.1143
2C20RW	2C20RW	20	autumn	rocks	water	54.88502	11.013504	88	Great Belt	Baltic Sea	258.1143
2C20SB	2C20SB	20	autumn	sand	sediment	54.88502	11.013504	89	Great Belt	Baltic Sea	258.1143
2C20SW	2C20SW	20	autumn	sand	water	54.88502	11.013504	90	Great Belt	Baltic Sea	258.1143
C20EB	C20EB	20	spring	eelgrass	sediment	54.88502	11.013504	91	Great Belt	Baltic Sea	258.1143
C20EW	C20EW	20	spring	eelgrass	water	54.88502	11.013504	92	Great Belt	Baltic Sea	258.1143
C20RB	C20RB	20	spring	rocks	sediment	54.88502	11.013504	93	Great Belt	Baltic Sea	258.1143
C20RW	C20RW	20	spring	rocks	water	54.88502	11.013504	94	Great Belt	Baltic Sea	258.1143
C20SB	C20SB	20	spring	sand	sediment	54.88502	11.013504	95	Great Belt	Baltic Sea	258.1143
C20SW	C20SW	20	spring	sand	water	54.88502	11.013504	96	Great Belt	Baltic Sea	258.1143
2C31EB	2C31EB	31	autumn	eelgrass	sediment	55.34755	11.101177	97	Great Belt	Kattegat	263.8756
2C31EW	2C31EW	31	autumn	eelgrass	water	55.34755	11.101177	98	Great Belt	Kattegat	263.8756
2C31RB	2C31RB	31	autumn	rocks	sediment	55.34755	11.101177	99	Great Belt	Kattegat	263.8756
2C31RW	2C31RW	31	autumn	rocks	water	55.34755	11.101177	100	Great Belt	Kattegat	263.8756
2C31SB	2C31SB	31	autumn	sand	sediment	55.34755	11.101177	101	Great Belt	Kattegat	263.8756
C31EB	C31EB	31	spring	eelgrass	sediment	55.34755	11.101177	103	Great Belt	Kattegat	263.8756
C31EW	C31EW	31	spring	eelgrass	water	55.34755	11.101177	104	Great Belt	Kattegat	263.8756
C31RB	C31RB	31	spring	rocks	sediment	55.34755	11.101177	105	Great Belt	Kattegat	263.8756
C31RW	C31RW	31	spring	rocks	water	55.34755	11.101177	106	Great Belt	Kattegat	263.8756
C31SB	C31SB	31	spring	sand	sediment	55.34755	11.101177	107	Great Belt	Kattegat	263.8756
C31SW	C31SW	31	spring	sand	water	55.34755	11.101177	108	Great Belt	Kattegat	263.8756
2C28EB	2C28EB	28	autumn	eelgrass	sediment	55.96898	11.846132	109	Kattegat	Kattegat	275.6713
2C28EW	2C28EW	28	autumn	eelgrass	water	55.96898	11.846132	110	Kattegat	Kattegat	275.6713
2C28RB	2C28RB	28	autumn	rocks	sediment	55.96898	11.846132	111	Kattegat	Kattegat	275.6713
2C28RW	2C28RW	28	autumn	rocks	water	55.96898	11.846132	112	Kattegat	Kattegat	275.6713
2C28SB	2C28SB	28	autumn	sand	sediment	55.96898	11.846132	113	Kattegat	Kattegat	275.6713
C28EB	C28EB	28	spring	eelgrass	sediment	55.96898	11.846132	115	Kattegat	Kattegat	275.6713
C28EW	C28EW	28	spring	eelgrass	water	55.96898	11.846132	116	Kattegat	Kattegat	275.6713
C28RB	C28RB	28	spring	rocks	sediment	55.96898	11.846132	117	Kattegat	Kattegat	275.6713
C28RW	C28RW	28	spring	rocks	water	55.96898	11.846132	118	Kattegat	Kattegat	275.6713
C28SB	C28SB	28	spring	sand	sediment	55.96898	11.846132	119	Kattegat	Kattegat	275.6713
C28SW	C28SW	28	spring	sand	water	55.96898	11.846132	120	Kattegat	Kattegat	275.6713
2C19EB	2C19EB	19	autumn	eelgrass	sediment	55.06489	10.21874	121	Little Belt	Kattegat	315.087
2C19EW	2C19EW	19	autumn	eelgrass	water	55.06489	10.21874	122	Little Belt	Kattegat	315.087
2C19RB	2C19RB	19	autumn	rocks	sediment	55.06489	10.21874	123	Little Belt	Kattegat	315.087
